method,simnum,listnum,hit,miss,fa,cr,cost,startseed
fe,1,5,15,378,0,12327,378.0,150
goni,1,5,104,289,42,12285,331.0,150
chan,1,5,123,270,71,12256,341.0,150
rw,1,5,231,162,156,12171,318.0,150
kenett,1,5,19,374,422,11905,796.0,150
fe,1,6,18,375,0,12327,375.0,150
goni,1,6,131,262,49,12278,311.0,150
chan,1,6,131,262,65,12262,327.0,150
rw,1,6,251,142,188,12139,330.0,150
kenett,1,6,17,376,436,11891,812.0,150
fe,1,7,21,372,0,12327,372.0,150
goni,1,7,152,241,59,12268,300.0,150
chan,1,7,127,266,59,12268,325.0,150
rw,1,7,271,122,213,12114,335.0,150
kenett,1,7,28,365,425,11902,790.0,150
fe,1,8,24,369,0,12327,369.0,150
goni,1,8,167,226,67,12260,293.0,150
chan,1,8,120,273,61,12266,334.0,150
rw,1,8,291,102,248,12079,350.0,150
kenett,1,8,28,365,431,11896,796.0,150
fe,1,9,27,366,0,12327,366.0,150
goni,1,9,185,208,77,12250,285.0,150
chan,1,9,126,267,54,12273,321.0,150
rw,1,9,306,87,277,12050,364.0,150
kenett,1,9,30,363,432,11895,795.0,150
fe,1,10,30,363,0,12327,363.0,150
goni,1,10,207,186,100,12227,286.0,150
chan,1,10,122,271,53,12274,324.0,150
rw,1,10,313,80,299,12028,379.0,150
kenett,1,10,25,368,440,11887,808.0,150
fe,1,11,33,360,0,12327,360.0,150
goni,1,11,227,166,110,12217,276.0,150
chan,1,11,124,269,47,12280,316.0,150
rw,1,11,324,69,326,12001,395.0,150
kenett,1,11,23,370,442,11885,812.0,150
fe,1,12,36,357,0,12327,357.0,150
goni,1,12,244,149,123,12204,272.0,150
chan,1,12,124,269,40,12287,309.0,150
rw,1,12,333,60,348,11979,408.0,150
kenett,1,12,26,367,439,11888,806.0,150
fe,1,13,39,354,0,12327,354.0,150
goni,1,13,250,143,134,12193,277.0,150
chan,1,13,126,267,40,12287,307.0,150
rw,1,13,337,56,376,11951,432.0,150
kenett,1,13,27,366,444,11883,810.0,150
fe,1,14,41,352,0,12327,352.0,150
goni,1,14,267,126,148,12179,274.0,150
chan,1,14,129,264,37,12290,301.0,150
rw,1,14,346,47,402,11925,449.0,150
kenett,1,14,22,371,449,11878,820.0,150
fe,1,15,44,349,0,12327,349.0,150
goni,1,15,278,115,157,12170,272.0,150
chan,1,15,131,262,35,12292,297.0,150
rw,1,15,351,42,428,11899,470.0,150
kenett,1,15,39,354,432,11895,786.0,150
fe,1,16,46,347,0,12327,347.0,150
goni,1,16,288,105,176,12151,281.0,150
chan,1,16,133,260,32,12295,292.0,150
rw,1,16,356,37,458,11869,495.0,150
kenett,1,16,44,349,427,11900,776.0,150
fe,1,17,49,344,0,12327,344.0,150
goni,1,17,295,98,196,12131,294.0,150
chan,1,17,134,259,27,12300,286.0,150
rw,1,17,359,34,485,11842,519.0,150
kenett,1,17,26,367,445,11882,812.0,150
fe,1,18,51,342,0,12327,342.0,150
goni,1,18,309,84,192,12135,276.0,150
chan,1,18,139,254,25,12302,279.0,150
rw,1,18,362,31,503,11824,534.0,150
kenett,1,18,222,171,252,12075,423.0,150
fe,1,19,54,339,0,12327,339.0,150
goni,1,19,319,74,205,12122,279.0,150
chan,1,19,136,257,28,12299,285.0,150
rw,1,19,365,28,531,11796,559.0,150
kenett,1,19,223,170,251,12076,421.0,150
fe,1,20,57,336,0,12327,336.0,150
goni,1,20,325,68,213,12114,281.0,150
chan,1,20,140,253,24,12303,277.0,150
rw,1,20,368,25,547,11780,572.0,150
kenett,1,20,228,165,246,12081,411.0,150
fe,1,21,60,333,0,12327,333.0,150
goni,1,21,331,62,220,12107,282.0,150
chan,1,21,138,255,24,12303,279.0,150
rw,1,21,371,22,571,11756,593.0,150
kenett,1,21,227,166,247,12080,413.0,150
fe,1,22,63,330,0,12327,330.0,150
goni,1,22,334,59,224,12103,283.0,150
chan,1,22,136,257,26,12301,283.0,150
rw,1,22,373,20,597,11730,617.0,150
kenett,1,22,232,161,242,12085,403.0,150
fe,1,23,66,327,0,12327,327.0,150
goni,1,23,340,53,237,12090,290.0,150
chan,1,23,137,256,24,12303,280.0,150
rw,1,23,375,18,621,11706,639.0,150
kenett,1,23,235,158,239,12088,397.0,150
fe,1,24,69,324,0,12327,324.0,150
goni,1,24,341,52,243,12084,295.0,150
chan,1,24,139,254,22,12305,276.0,150
rw,1,24,377,16,638,11689,654.0,150
kenett,1,24,236,157,238,12089,395.0,150
fe,1,25,71,322,0,12327,322.0,150
goni,1,25,345,48,261,12066,309.0,150
chan,1,25,140,253,22,12305,275.0,150
rw,1,25,377,16,654,11673,670.0,150
kenett,1,25,244,149,230,12097,379.0,150
fe,1,26,74,319,0,12327,319.0,150
goni,1,26,347,46,263,12064,309.0,150
chan,1,26,142,251,20,12307,271.0,150
rw,1,26,379,14,679,11648,693.0,150
kenett,1,26,236,157,238,12089,395.0,150
fe,1,27,77,316,0,12327,316.0,150
goni,1,27,347,46,269,12058,315.0,150
chan,1,27,142,251,22,12305,273.0,150
rw,1,27,382,11,708,11619,719.0,150
kenett,1,27,248,145,226,12101,371.0,150
fe,1,28,80,313,0,12327,313.0,150
goni,1,28,349,44,276,12051,320.0,150
chan,1,28,142,251,19,12308,270.0,150
rw,1,28,384,9,722,11605,731.0,150
kenett,1,28,241,152,233,12094,385.0,150
fe,1,29,83,310,0,12327,310.0,150
goni,1,29,355,38,288,12039,326.0,150
chan,1,29,145,248,17,12310,265.0,150
rw,1,29,385,8,734,11593,742.0,150
kenett,1,29,252,141,222,12105,363.0,150
fe,1,30,85,308,0,12327,308.0,150
goni,1,30,359,34,285,12042,319.0,150
chan,1,30,145,248,17,12310,265.0,150
rw,1,30,388,5,760,11567,765.0,150
kenett,1,30,254,139,220,12107,359.0,150
fe,1,31,88,305,0,12327,305.0,150
goni,1,31,362,31,304,12023,335.0,150
chan,1,31,145,248,15,12312,263.0,150
rw,1,31,389,4,784,11543,788.0,150
kenett,1,31,253,140,221,12106,361.0,150
fe,1,32,90,303,0,12327,303.0,150
goni,1,32,364,29,314,12013,343.0,150
chan,1,32,144,249,16,12311,265.0,150
rw,1,32,390,3,802,11525,805.0,150
kenett,1,32,255,138,219,12108,357.0,150
fe,1,33,92,301,0,12327,301.0,150
goni,1,33,364,29,320,12007,349.0,150
chan,1,33,145,248,14,12313,262.0,150
rw,1,33,390,3,820,11507,823.0,150
kenett,1,33,262,131,212,12115,343.0,150
fe,1,34,94,299,0,12327,299.0,150
goni,1,34,365,28,329,11998,357.0,150
chan,1,34,147,246,13,12314,259.0,150
rw,1,34,390,3,838,11489,841.0,150
kenett,1,34,261,132,213,12114,345.0,150
fe,1,35,96,297,0,12327,297.0,150
goni,1,35,363,30,337,11990,367.0,150
chan,1,35,145,248,15,12312,263.0,150
rw,1,35,390,3,854,11473,857.0,150
kenett,1,35,263,130,211,12116,341.0,150
fe,1,36,97,296,0,12327,296.0,150
goni,1,36,366,27,343,11984,370.0,150
chan,1,36,146,247,14,12313,261.0,150
rw,1,36,390,3,870,11457,873.0,150
kenett,1,36,267,126,207,12120,333.0,150
fe,1,37,100,293,0,12327,293.0,150
goni,1,37,368,25,352,11975,377.0,150
chan,1,37,147,246,13,12314,259.0,150
rw,1,37,390,3,891,11436,894.0,150
kenett,1,37,271,122,203,12124,325.0,150
fe,1,38,103,290,0,12327,290.0,150
goni,1,38,369,24,355,11972,379.0,150
chan,1,38,147,246,13,12314,259.0,150
rw,1,38,391,2,907,11420,909.0,150
kenett,1,38,268,125,206,12121,331.0,150
fe,1,39,106,287,0,12327,287.0,150
goni,1,39,370,23,358,11969,381.0,150
chan,1,39,146,247,13,12314,260.0,150
rw,1,39,392,1,922,11405,923.0,150
kenett,1,39,258,135,216,12111,351.0,150
fe,1,40,108,285,0,12327,285.0,150
goni,1,40,371,22,363,11964,385.0,150
chan,1,40,147,246,12,12315,258.0,150
rw,1,40,392,1,938,11389,939.0,150
kenett,1,40,272,121,202,12125,323.0,150
fe,1,41,109,284,0,12327,284.0,150
goni,1,41,369,24,371,11956,395.0,150
chan,1,41,148,245,11,12316,256.0,150
rw,1,41,392,1,965,11362,966.0,150
kenett,1,41,270,123,204,12123,327.0,150
fe,1,42,111,282,0,12327,282.0,150
goni,1,42,370,23,370,11957,393.0,150
chan,1,42,150,243,10,12317,253.0,150
rw,1,42,392,1,985,11342,986.0,150
kenett,1,42,272,121,202,12125,323.0,150
fe,1,43,113,280,0,12327,280.0,150
goni,1,43,372,21,377,11950,398.0,150
chan,1,43,150,243,10,12317,253.0,150
rw,1,43,392,1,1008,11319,1009.0,150
kenett,1,43,278,115,196,12131,311.0,150
fe,1,44,116,277,0,12327,277.0,150
goni,1,44,374,19,381,11946,400.0,150
chan,1,44,150,243,10,12317,253.0,150
rw,1,44,392,1,1029,11298,1030.0,150
kenett,1,44,277,116,197,12130,313.0,150
fe,1,45,118,275,0,12327,275.0,150
goni,1,45,375,18,397,11930,415.0,150
chan,1,45,151,242,10,12317,252.0,150
rw,1,45,392,1,1046,11281,1047.0,150
kenett,1,45,274,119,200,12127,319.0,150
fe,1,46,120,273,0,12327,273.0,150
goni,1,46,376,17,398,11929,415.0,150
chan,1,46,150,243,11,12316,254.0,150
rw,1,46,392,1,1058,11269,1059.0,150
kenett,1,46,276,117,198,12129,315.0,150
fe,1,47,122,271,0,12327,271.0,150
goni,1,47,376,17,398,11929,415.0,150
chan,1,47,151,242,9,12318,251.0,150
rw,1,47,392,1,1071,11256,1072.0,150
kenett,1,47,276,117,198,12129,315.0,150
fe,1,48,123,270,0,12327,270.0,150
goni,1,48,377,16,410,11917,426.0,150
chan,1,48,151,242,9,12318,251.0,150
rw,1,48,392,1,1087,11240,1088.0,150
kenett,1,48,279,114,195,12132,309.0,150
fe,1,49,125,268,0,12327,268.0,150
goni,1,49,379,14,411,11916,425.0,150
chan,1,49,151,242,8,12319,250.0,150
rw,1,49,392,1,1099,11228,1100.0,150
kenett,1,49,279,114,195,12132,309.0,150
fe,1,50,127,266,0,12327,266.0,150
goni,1,50,380,13,414,11913,427.0,150
chan,1,50,152,241,7,12320,248.0,150
rw,1,50,392,1,1109,11218,1110.0,150
kenett,1,50,279,114,195,12132,309.0,150
fe,2,1,3,390,0,12327,390.0,300
goni,2,1,7,386,1,12326,387.0,300
chan,2,1,62,331,30,12297,361.0,300
rw,2,1,65,328,33,12294,361.0,300
kenett,2,1,20,373,223,12104,596.0,300
fe,2,2,6,387,0,12327,387.0,300
goni,2,2,38,355,13,12314,368.0,300
chan,2,2,83,310,49,12278,359.0,300
rw,2,2,121,272,63,12264,335.0,300
kenett,2,2,13,380,317,12010,697.0,300
fe,2,3,9,384,0,12327,384.0,300
goni,2,3,64,329,22,12305,351.0,300
chan,2,3,116,277,57,12270,334.0,300
rw,2,3,173,220,85,12242,305.0,300
kenett,2,3,19,374,377,11950,751.0,300
fe,2,4,12,381,0,12327,381.0,300
goni,2,4,86,307,34,12293,341.0,300
chan,2,4,112,281,65,12262,346.0,300
rw,2,4,210,183,121,12206,304.0,300
kenett,2,4,14,379,400,11927,779.0,300
fe,2,5,15,378,0,12327,378.0,300
goni,2,5,110,283,41,12286,324.0,300
chan,2,5,121,272,59,12268,331.0,300
rw,2,5,244,149,153,12174,302.0,300
kenett,2,5,22,371,404,11923,775.0,300
fe,2,6,18,375,0,12327,375.0,300
goni,2,6,137,256,61,12266,317.0,300
chan,2,6,123,270,58,12269,328.0,300
rw,2,6,270,123,181,12146,304.0,300
kenett,2,6,19,374,422,11905,796.0,300
fe,2,7,21,372,0,12327,372.0,300
goni,2,7,162,231,68,12259,299.0,300
chan,2,7,126,267,49,12278,316.0,300
rw,2,7,292,101,211,12116,312.0,300
kenett,2,7,20,373,427,11900,800.0,300
fe,2,8,24,369,0,12327,369.0,300
goni,2,8,172,221,82,12245,303.0,300
chan,2,8,130,263,43,12284,306.0,300
rw,2,8,303,90,235,12092,325.0,300
kenett,2,8,19,374,428,11899,802.0,300
fe,2,9,27,366,0,12327,366.0,300
goni,2,9,201,192,90,12237,282.0,300
chan,2,9,131,262,39,12288,301.0,300
rw,2,9,317,76,259,12068,335.0,300
kenett,2,9,19,374,434,11893,808.0,300
fe,2,10,30,363,0,12327,363.0,300
goni,2,10,212,181,97,12230,278.0,300
chan,2,10,131,262,43,12284,305.0,300
rw,2,10,323,70,289,12038,359.0,300
kenett,2,10,20,373,436,11891,809.0,300
fe,2,11,31,362,0,12327,362.0,300
goni,2,11,233,160,103,12224,263.0,300
chan,2,11,131,262,38,12289,300.0,300
rw,2,11,334,59,312,12015,371.0,300
kenett,2,11,21,372,435,11892,807.0,300
fe,2,12,34,359,0,12327,359.0,300
goni,2,12,246,147,110,12217,257.0,300
chan,2,12,129,264,44,12283,308.0,300
rw,2,12,342,51,341,11986,392.0,300
kenett,2,12,30,363,432,11895,795.0,300
fe,2,13,37,356,0,12327,356.0,300
goni,2,13,256,137,125,12202,262.0,300
chan,2,13,130,263,47,12280,310.0,300
rw,2,13,346,47,370,11957,417.0,300
kenett,2,13,26,367,439,11888,806.0,300
fe,2,14,40,353,0,12327,353.0,300
goni,2,14,274,119,146,12181,265.0,300
chan,2,14,134,259,31,12296,290.0,300
rw,2,14,353,40,402,11925,442.0,300
kenett,2,14,23,370,442,11885,812.0,300
fe,2,15,42,351,0,12327,351.0,300
goni,2,15,287,106,143,12184,249.0,300
chan,2,15,136,257,29,12298,286.0,300
rw,2,15,363,30,424,11903,454.0,300
kenett,2,15,30,363,438,11889,801.0,300
fe,2,16,44,349,0,12327,349.0,300
goni,2,16,291,102,162,12165,264.0,300
chan,2,16,137,256,28,12299,284.0,300
rw,2,16,369,24,451,11876,475.0,300
kenett,2,16,46,347,425,11902,772.0,300
fe,2,17,47,346,0,12327,346.0,300
goni,2,17,310,83,172,12155,255.0,300
chan,2,17,139,254,25,12302,279.0,300
rw,2,17,371,22,478,11849,500.0,300
kenett,2,17,57,336,414,11913,750.0,300
fe,2,18,50,343,0,12327,343.0,300
goni,2,18,313,80,178,12149,258.0,300
chan,2,18,136,257,26,12301,283.0,300
rw,2,18,373,20,505,11822,525.0,300
kenett,2,18,44,349,427,11900,776.0,300
fe,2,19,53,340,0,12327,340.0,300
goni,2,19,324,69,198,12129,267.0,300
chan,2,19,139,254,23,12304,277.0,300
rw,2,19,377,16,531,11796,547.0,300
kenett,2,19,50,343,421,11906,764.0,300
fe,2,20,55,338,0,12327,338.0,300
goni,2,20,325,68,206,12121,274.0,300
chan,2,20,141,252,21,12306,273.0,300
rw,2,20,380,13,558,11769,571.0,300
kenett,2,20,65,328,406,11921,734.0,300
fe,2,21,57,336,0,12327,336.0,300
goni,2,21,327,66,215,12112,281.0,300
chan,2,21,141,252,21,12306,273.0,300
rw,2,21,382,11,578,11749,589.0,300
kenett,2,21,55,338,416,11911,754.0,300
fe,2,22,60,333,0,12327,333.0,300
goni,2,22,332,61,225,12102,286.0,300
chan,2,22,143,250,18,12309,268.0,300
rw,2,22,383,10,598,11729,608.0,300
kenett,2,22,62,331,409,11918,740.0,300
fe,2,23,62,331,0,12327,331.0,300
goni,2,23,340,53,235,12092,288.0,300
chan,2,23,145,248,16,12311,264.0,300
rw,2,23,384,9,617,11710,626.0,300
kenett,2,23,65,328,406,11921,734.0,300
fe,2,24,65,328,0,12327,328.0,300
goni,2,24,347,46,233,12094,279.0,300
chan,2,24,145,248,14,12313,262.0,300
rw,2,24,384,9,651,11676,660.0,300
kenett,2,24,71,322,400,11927,722.0,300
fe,2,25,67,326,0,12327,326.0,300
goni,2,25,348,45,239,12088,284.0,300
chan,2,25,148,245,11,12316,256.0,300
rw,2,25,384,9,671,11656,680.0,300
kenett,2,25,69,324,402,11925,726.0,300
fe,2,26,69,324,0,12327,324.0,300
