id,game,category,item,RT
S002,2,animals,elephant,1991
S002,2,animals,lion,1396
S002,2,animals,panda,7158
S002,2,animals,bear,1241
S002,2,animals,skunk,3159
S002,2,animals,squirrel,3851
S002,2,animals,rabbit,3068
S002,2,animals,chipmunk,2614
S002,2,animals,rat,3202
S002,2,animals,eagle,3228
S002,2,animals,vulture,2600
S002,2,animals,chicken,5150
S002,2,animals,duck,967
S002,2,animals,robin,2970
S002,2,animals,bluejay,2264
S002,2,animals,parakeet,4922
S002,2,animals,tucan,1458
S002,2,animals,canary,3723
S002,2,animals,swan,2511
S002,2,animals,crow,3819
S002,2,animals,raven,3114
S002,2,animals,ostrich,7072
S002,2,animals,salmon,8329
S002,2,animals,trout,1678
S002,2,animals,seal,2852
S002,2,animals,whale,2388
S002,2,animals,manatee,1961
S002,2,animals,shark,2656
S002,2,animals,dolphin,7314
S002,3,supermarket,icecream,5065
S002,3,supermarket,milk,1704
S002,3,supermarket,yogurt,3384
S002,3,supermarket,butter,1680
S002,3,supermarket,cheese,5042
S002,3,supermarket,ham,1792
S002,3,supermarket,turkey,2485
S002,3,supermarket,bologna,3502
S002,3,supermarket,bread,7105
S002,3,supermarket,flour,3539
S002,3,supermarket,mayonnaise,8086
S002,3,supermarket,mustard,2485
S002,3,supermarket,ketchup,2078
S002,3,supermarket,pickles,3927
S002,3,supermarket,orange,2270
S002,3,supermarket,banana,1723
S002,3,supermarket,apple,1274
S002,3,supermarket,grapes,3118
S002,3,supermarket,watermelons,4926
S002,3,supermarket,pineapple,3290
S002,3,supermarket,celery,4947
S002,3,supermarket,peanutbutter,3311
S002,3,supermarket,spinach,6052
S002,3,supermarket,arugula,3929
S002,3,supermarket,onions,4711
S002,3,supermarket,radish,2404
S002,3,supermarket,beet,2892
S002,3,supermarket,sweetpotato,4584
S002,3,supermarket,potato,1842
S002,3,supermarket,coconut,5102
S002,3,supermarket,papaya,2817
S002,3,supermarket,pasta,6027
S002,4,animals,cat,4943
S002,4,animals,dog,1112
S002,4,animals,hamster,3345
S002,4,animals,gerbil,4713
S002,4,animals,chinchilla,1789
S002,4,animals,rabbit,2076
S002,4,animals,mouse,3455
S002,4,animals,rat,1735
S002,4,animals,skunk,7126
S002,4,animals,squirrel,2713
S002,4,animals,chipmunk,7191
S002,4,animals,eagle,3089
S002,4,animals,vulture,2831
S002,4,animals,robin,3613
S002,4,animals,bluejay,3043
S002,4,animals,flamingo,2160
S002,4,animals,seagul,4573
S002,4,animals,chicken,4945
S002,4,animals,duck,1197
S002,4,animals,ostrich,5728
S002,4,animals,penguin,1657
S002,4,animals,raven,2733
S002,4,animals,crow,1191
S002,4,animals,parakeet,5098
S002,4,animals,tucan,1209
S002,4,animals,parrot,1419
S002,4,animals,monkey,5679
S002,4,animals,gorilla,1738
S002,4,animals,giraffe,5828
S002,4,animals,lion,1275
S002,4,animals,tiger,1041
S002,4,animals,zebra,2202
S002,4,animals,gazelle,3479
S002,4,animals,sealion,2647
S002,4,animals,whale,2111
S002,4,animals,dolphin,2727
S002,4,animals,shark,1457
S002,4,animals,trout,2526
S002,5,supermarket,tomato,7271
S002,5,supermarket,potato,1424
S002,5,supermarket,corn,2207
S002,5,supermarket,peas,2596
S002,5,supermarket,lettuce,2298
S002,5,supermarket,spinach,2670
S002,5,supermarket,arugula,1404
S002,5,supermarket,onion,4619
S002,5,supermarket,apple,10412
S002,5,supermarket,grapes,1717
S002,5,supermarket,orange,2814
S002,5,supermarket,pineapple,3155
S002,5,supermarket,coconut,3129
S002,5,supermarket,papaya,1730
S002,5,supermarket,banana,3467
S002,5,supermarket,creamcheese,6663
S002,5,supermarket,butter,1590
S002,5,supermarket,cheese,1527
S002,5,supermarket,milk,3193
S002,5,supermarket,flour,2777
S002,5,supermarket,eggs,1200
S002,5,supermarket,bread,1765
S002,5,supermarket,ham,4035
S002,5,supermarket,bologna,2539
S002,5,supermarket,salami,3585
S002,5,supermarket,turkey,4251
S002,5,supermarket,chicken,3099
S002,5,supermarket,beef,2302
S002,5,supermarket,fish,2412
S002,5,supermarket,pasta,8001
S002,5,supermarket,salt,6460
S002,5,supermarket,pepper,1078
S002,5,supermarket,paprika,3696
S002,5,supermarket,cinammon,1812
S002,5,supermarket,thyme,5532
S002,6,supermarket,milk,4126
S002,6,supermarket,butter,1245
S002,6,supermarket,cheese,2056
S002,6,supermarket,yogurt,2383
S002,6,supermarket,creamcheese,2514
S002,6,supermarket,orangejuice,7849
S002,6,supermarket,eggs,1394
S002,6,supermarket,bacon,1700
S002,6,supermarket,ham,1170
S002,6,supermarket,salami,4745
S002,6,supermarket,turkey,2251
S002,6,supermarket,bread,3580
S002,6,supermarket,pasta,1377
S002,6,supermarket,potato,3056
S002,6,supermarket,tomato,2269
S002,6,supermarket,pickles,5559
S002,6,supermarket,cucumber,3500
S002,6,supermarket,squash,2994
S002,6,supermarket,apricot,4526
S002,6,supermarket,peach,2431
S002,6,supermarket,orange,1717
S002,6,supermarket,grapes,2138
S002,6,supermarket,apples,2375
S002,6,supermarket,bananas,2454
S002,6,supermarket,strawberries,5236
S002,6,supermarket,cranberries,5590
S002,6,supermarket,blueberries,2491
S002,6,supermarket,blackberries,5524
S002,6,supermarket,raspberry,2661
S002,6,supermarket,pomegranite,9073
S002,6,supermarket,beet,5698
S002,6,supermarket,sweetpotato,5572
S002,6,supermarket,peas,4129
S002,6,supermarket,lettuce,1252
S002,6,supermarket,celery,1479
S002,7,animals,tiger,3330
S002,7,animals,lion,1051
S002,7,animals,zebra,2323
S002,7,animals,horse,3265
S002,7,animals,cow,1778
S002,7,animals,sheep,1817
S002,7,animals,goat,5194
S002,7,animals,camel,2097
S002,7,animals,llama,1143
S002,7,animals,ostirch,3888
S002,7,animals,ram,6974
S002,7,animals,deer,4311
S002,7,animals,gazelle,1725
S002,7,animals,dog,3926
S002,7,animals,cat,1033
S002,7,animals,salmon,3621
S002,7,animals,trout,919
S002,7,animals,shark,4889
S002,7,animals,dolphin,4168
S002,7,animals,whale,3927
S002,7,animals,manatee,5123
S002,7,animals,seahorse,4933
S002,7,animals,skunk,5155
S002,7,animals,squirrel,2638
S002,7,animals,chipmunk,2632
S002,7,animals,rat,859
S002,7,animals,mouse,1503
S002,7,animals,rabbit,1762
S002,7,animals,lizard,8232
S002,7,animals,crocodile,3555
S002,7,animals,alligator,3261
S002,7,animals,salamander,3653
S002,7,animals,frog,2586
S002,7,animals,raven,3517
S002,7,animals,crow,914
S002,7,animals,bluejay,3150
S002,7,animals,rabin,1124
S002,7,animals,eagle,3245
S002,8,supermarket,peanutbuttert,4826
S002,8,supermarket,jelly,2675
S002,8,supermarket,salt,2750
S002,8,supermarket,pepper,2100
S002,8,supermarket,mustrad,2177
S002,8,supermarket,ketchup,2863
S002,8,supermarket,mayonnaise,4416
S002,8,supermarket,relish,1048
S002,8,supermarket,radish,5801
S002,8,supermarket,onion,1767
S002,8,supermarket,celery,1679
S002,8,supermarket,cilantro,1621
S002,8,supermarket,thyme,2421
S002,8,supermarket,basil,1411
S002,8,supermarket,spinach,1889
S002,8,supermarket,arugula,2328
S002,8,supermarket,lettuce,1644
S002,8,supermarket,tomato,3844
S002,8,supermarket,apple,1236
S002,8,supermarket,banana,2240
S002,8,supermarket,orange,2190
S002,8,supermarket,pineapple,1742
S002,8,supermarket,cocnut,1294
S002,8,supermarket,bread,11676
S002,8,supermarket,butter,1100
S002,8,supermarket,cheese,1963
S002,8,supermarket,orangejuice,4326
S002,8,supermarket,peas,5174
S002,8,supermarket,potato,6473
S002,8,supermarket,sweetpotato,3302
S002,8,supermarket,pasta,11168
S002,8,supermarket,orangejuice,9106
S002,8,supermarket,milk,2035
S002,8,supermarket,applejuice,2791
S002,8,supermarket,soda,1283
S002,8,supermarket,ham,1593
S002,9,animals,cat,3432
S002,9,animals,lion,2019
S002,9,animals,leopard,2292
S002,9,animals,jaguar,2041
S002,9,animals,tiger,2645
S002,9,animals,puma,2800
S002,9,animals,mountainlion,5528
S002,9,animals,bobcat,4855
S002,9,animals,frog,5986
S002,9,animals,crocodile,6380
S002,9,animals,alligator,1894
S002,9,animals,salamander,4276
S002,9,animals,gecko,4723
S002,9,animals,iguana,1855
S002,9,animals,beardeddragon,5936
S002,9,animals,aardvark,7631
S002,9,animals,ostrich,2440
S002,9,animals,armadillo,5161
S002,9,animals,skunk,4213
S002,9,animals,whale,6585
S002,9,animals,shark,1866
S002,9,animals,dolphin,2057
S002,9,animals,sealion,6832
S002,9,animals,seal,1882
S002,9,animals,penguin,2241
S002,9,animals,raven,1081
S002,9,animals,crow,1748
S002,9,animals,redrobin,3125
S002,9,animals,bluejay,1918
S002,9,animals,parakeet,3708
S002,9,animals,tucan,3370
S002,9,animals,parrot,3369
S002,9,animals,eagle,2733
S002,10,supermarket,apples,6949
S002,10,supermarket,bananas,1780
S002,10,supermarket,grapes,2617
S002,10,supermarket,oranges,1772
S002,10,supermarket,raspberries,3763
S002,10,supermarket,strawberries,3325
S002,10,supermarket,cranberries,3286
S002,10,supermarket,blackberries,4408
S002,10,supermarket,boisenberries,3483
S002,10,supermarket,pomegranite,5490
S002,10,supermarket,beet,1990
S002,10,supermarket,bleuberry,4535
S002,10,supermarket,pineapple,4110
S002,10,supermarket,coconut,3673
S002,10,supermarket,papaya,3961
S002,10,supermarket,onion,1504
S002,10,supermarket,tomato,1851
S002,10,supermarket,pickles,2248
S002,10,supermarket,cucumber,1652
S002,10,supermarket,potato,5617
S002,10,supermarket,vegetableoil,4278
S002,10,supermarket,canolaoil,5864
S002,10,supermarket,oliveoil,3808
S002,10,supermarket,olives,2729
S002,10,supermarket,milk,3917
S002,10,supermarket,butter,1190
S002,10,supermarket,cheese,2304
S002,10,supermarket,orangejuice,4110
S002,10,supermarket,applejuice,2491
S002,10,supermarket,grapejuice,2713
S002,10,supermarket,soda,1169
S002,10,supermarket,coffee,1516
S002,10,supermarket,tea,1553
S002,10,supermarket,cookies,5062
S002,10,supermarket,cakes,1036
S002,10,supermarket,candy,2005
S002,10,supermarket,gum,1388
S002,10,supermarket,icecream,4669
S002,11,animals,llama,3759
S002,11,animals,goat,2430
S002,11,animals,ram,1200
S002,11,animals,horse,5789
S002,11,animals,zebra,2831
S002,11,animals,lion,1292
S002,11,animals,tiger,1035
S002,11,animals,puma,1117
S002,11,animals,jaguar,2092
S002,11,animals,leopard,1917
S002,11,animals,gazelle,4948
S002,11,animals,deer,1477
S002,11,animals,rabbit,3213
S002,11,animals,skunk,2729
S002,11,animals,squirrel,2440
S002,11,animals,chipmunk,5924
S002,11,animals,dog,2528
S002,11,animals,cat,601
S002,11,animals,hamster,3416
S002,11,animals,chinchilla,4765
S002,11,animals,gerbil,3109
S002,11,animals,snake,4438
S002,11,animals,frog,1991
S002,11,animals,alligator,2557
S002,11,animals,crocodile,2869
S002,11,animals,quail,1636
S002,11,animals,salamander,4701
S002,11,animals,seahorse,5406
S002,11,animals,whale,3746
S002,11,animals,dolpin,3411
S002,11,animals,shark,946
S002,11,animals,sealion,2677
S002,11,animals,penguin,2591
S002,11,animals,sea,1500
S002,11,animals,trout,8445
S002,11,animals,blowfish,2347
S002,11,animals,flamingo,5133
S002,11,animals,shrimp,1300
S002,11,animals,lobster,2154
S002,11,animals,crab,1730
S002,12,animals,dove,3203
S002,12,animals,nightingale,7245
S002,12,animals,flamingo,6264
S002,12,animals,mosquito,3315
S002,12,animals,fly,1040
S002,12,animals,bee,1671
S002,12,animals,lobster,6322
S002,12,animals,crab,1108
S002,12,animals,shrimp,3446
S002,12,animals,catfish,2038
S002,12,animals,cow,4486
S002,12,animals,chicken,2900
S002,12,animals,pig,897
S002,12,animals,goat,1795
S002,12,animals,llama,1841
S002,12,animals,sheep,4028
S002,12,animals,horse,1597
S002,12,animals,zebra,2246
S002,12,animals,lion,3024
S002,12,animals,tiger,882
S002,12,animals,gazelel,2218
S002,12,animals,deer,2774
S002,12,animals,puma,2666
S002,12,animals,jaguar,2602
S002,12,animals,leopard,2124
S002,12,animals,bobcat,1412
S002,12,animals,bluejay,8932
S002,12,animals,robin,1324
S002,12,animals,raven,2123
S002,12,animals,crow,1808
S002,12,animals,eagle,1284
S002,12,animals,vulture,1330
S002,12,animals,mouse,2079
S002,12,animals,lizard,1756
S002,12,animals,snkae,1310
S002,12,animals,alligator,2883
S002,12,animals,crocodile,3140
S002,12,animals,hippo,1594
S002,12,animals,elephant,4125
S002,12,animals,giraffe,2442
S002,12,animals,dog,4489
S002,12,animals,cat,559
S002,12,animals,hamster,2880
S002,12,animals,fish,1372
S002,13,supermarket,bread,4727
S002,13,supermarket,butter,1523
S002,13,supermarket,milk,2866
S002,13,supermarket,yogurt,1449
S002,13,supermarket,cheese,1456
S002,13,supermarket,creamcheese,2342
S002,13,supermarket,orangejuice,4834
S002,13,supermarket,bacon,1749
S002,13,supermarket,jam,3055
S002,13,supermarket,peanutbutter,4244
S002,13,supermarket,cereal,1211
S002,13,supermarket,oatmeal,2070
S002,13,supermarket,lettuce,5622
S002,13,supermarket,tomato,1728
S002,13,supermarket,onion,2156
S002,13,supermarket,carrots,3694
S002,13,supermarket,corn,1382
S002,13,supermarket,peas,2178
S002,13,supermarket,pasta,2998
S002,13,supermarket,potato,6642
S002,13,supermarket,sweetpotato,2681
S002,13,supermarket,pickles,5681
S002,13,supermarket,mayonnaise,3770
S002,13,supermarket,salt,2183
S002,13,supermarket,pepper,1532
S002,13,supermarket,oliveoil,3131
S002,13,supermarket,vegetableoil,7074
S002,13,supermarket,apples,5690
S002,13,supermarket,banana,2289
S002,13,supermarket,pineapple,6295
S002,13,supermarket,melon,1427
S002,13,supermarket,watermelon,2228
S002,13,supermarket,squash,2044
S002,13,supermarket,tortillas,5194
S002,13,supermarket,cilantro,4133
S002,13,supermarket,hotsauce,2205
S002,13,supermarket,spinach,3506
S002,14,animals,dove,3493
S002,14,animals,flamingo,4237
S002,14,animals,crow,2086
S002,14,animals,raven,1840
S002,14,animals,robin,7700
S002,14,animals,eagle,1350
S002,14,animals,bluejay,3411
S002,14,animals,vulture,3185
S002,14,animals,chicken,1389
S002,14,animals,duck,1606
S002,14,animals,penguin,2437
S002,14,animals,ostrich,2906
S002,14,animals,aardvark,3268
S002,14,animals,chinchilla,4313
S002,14,animals,bear,1093
S002,14,animals,hippo,4335
S002,14,animals,elephant,1538
S002,14,animals,giraffe,1897
S002,14,animals,lion,2393
S002,14,animals,tiger,2244
S002,14,animals,leopard,3081
S002,14,animals,puma,1424
S002,14,animals,gazelle,4011
S002,14,animals,bobcat,1770
S002,14,animals,goat,2172
S002,14,animals,sheep,1665
S002,14,animals,pig,1151
S002,14,animals,frog,1085
S002,14,animals,cow,2765
S002,14,animals,buffalo,4602
S002,14,animals,ram,2036
S002,14,animals,alligator,5696
S002,14,animals,crocodile,2433
S002,14,animals,iguana,4421
S002,14,animals,gecko,1699
S002,14,animals,rabbit,3157
S002,14,animals,parakeet,2342
S002,14,animals,parrot,3394
S002,14,animals,tucan,1088
S002,14,animals,monkey,4242
S002,14,animals,gorilla,1507
S002,14,animals,fly,2833
S002,14,animals,bee,1027
S002,15,supermarket,milk,7200
S002,15,supermarket,orangejuice,2628
S002,15,supermarket,soda,1198
S002,15,supermarket,coffee,1777
S002,15,supermarket,tea,1625
S002,15,supermarket,cookies,1830
S002,15,supermarket,cake,3286
S002,15,supermarket,ham,1800
S002,15,supermarket,salami,2792
S002,15,supermarket,bacon,1451
S002,15,supermarket,turkey,1605
S002,15,supermarket,mayonnaise,2730
S002,15,supermarket,ketchup,3778
S002,15,supermarket,mustard,2140
S002,15,supermarket,steaksauce,2974
S002,15,supermarket,marshmellows,5448
S002,15,supermarket,chocolate,2734
S002,15,supermarket,icecream,2169
S002,15,supermarket,carrots,8040
S002,15,supermarket,corn,2005
S002,15,supermarket,peas,1070
S002,15,supermarket,spinach,3143
S002,15,supermarket,arugula,2856
S002,15,supermarket,cilantro,4249
S002,15,supermarket,thyme,1285
S002,15,supermarket,basil,2967
S002,15,supermarket,pepper,1520
S002,15,supermarket,salt,1000
S002,15,supermarket,paprika,5848
S002,15,supermarket,cinammon,1547
S002,15,supermarket,cocoapowder,6388
S002,15,supermarket,bakingpowder,2926
S002,15,supermarket,bakingsoda,3154
S002,15,supermarket,nutmeg,4292
S002,15,supermarket,hazelnuts,7169
S002,15,supermarket,almonds,2480
S002,15,supermarket,peanuts,1646
S002,15,supermarket,walnuts,2737
S002,15,supermarket,apples,2681
S002,16,animals,cat,5019
S002,16,animals,dog,1122
S002,16,animals,fish,1380
S002,16,animals,koi,1675
S002,16,animals,trout,2196
S002,16,animals,salmon,1605
S002,16,animals,whale,1952
S002,16,animals,panda,1600
S002,16,animals,monkey,2782
S002,16,animals,gorilla,1490
S002,16,animals,giraffe,2650
S002,16,animals,lion,1366
S002,16,animals,tiger,868
S002,16,animals,gazelle,2210
S002,16,animals,zebra,1288
S002,16,animals,horse,1717
S002,16,animals,goat,2078
S002,16,animals,llama,1563
S002,16,animals,sheep,1967
S002,16,animals,cow,724
S002,16,animals,pig,1113
S002,16,animals,duck,1939
S002,16,animals,chicken,3333
S002,16,animals,flamingo,2245
S002,16,animals,raven,1265
S002,16,animals,crow,1356
S002,16,animals,mosquito,4642
S002,16,animals,fly,1096
S002,16,animals,bee,1380
S002,16,animals,shrimp,4017
S002,16,animals,lobster,3692
S002,16,animals,butterfly,4086
S002,16,animals,prayingmantis,7578
S002,16,animals,spider,2410
S002,16,animals,eagle,9245
S002,16,animals,mouse,2363
S002,16,animals,snake,810
S002,16,animals,alligator,1929
S002,16,animals,crocodile,2439
S002,16,animals,salamander,7940
S002,16,animals,whale,1074
S002,16,animals,dolphin,2776
S002,16,animals,shark,995
S002,16,animals,puma,1671
S002,16,animals,seahorse,2232
S002,16,animals,trout,1638
S002,16,animals,salmon,3144
S002,16,animals,tuna,1306
S002,17,supermarket,almond,3182
S002,17,supermarket,peanut,1741
S002,17,supermarket,walnut,5291
S002,17,supermarket,almond,1884
S002,17,supermarket,peanutbutter,4195
S002,17,supermarket,macademianuts,6354
S002,17,supermarket,chocolate,2038
S002,17,supermarket,flour,2635
S002,17,supermarket,butter,1362
S002,17,supermarket,milk,1574
S002,17,supermarket,eggs,1750
S002,17,supermarket,bakingpowder,3811
S002,17,supermarket,bakingsoda,2628
S002,17,supermarket,water,2006
S002,17,supermarket,orangejuice,4262
S002,17,supermarket,bacon,1148
S002,17,supermarket,bread,4051
S002,17,supermarket,jam,3279
S002,17,supermarket,jelly,1360
S002,17,supermarket,salt,3849
S002,17,supermarket,pepper,1117
S002,17,supermarket,paprika,4637
S002,17,supermarket,cinammon,2134
S002,17,supermarket,basil,3961
S002,17,supermarket,orgegano,3422
S002,17,supermarket,cilantro,2154
S002,17,supermarket,spinach,2433
S002,17,supermarket,arugula,1479
S002,17,supermarket,lettuce,3302
S002,17,supermarket,onion,2185
S002,17,supermarket,tomato,2165
S002,17,supermarket,potato,1833
S002,17,supermarket,sweetpotato,2571
S002,17,supermarket,mayonnaise,3192
S002,17,supermarket,ketchup,2540
S002,17,supermarket,mustard,1543
S002,17,supermarket,relish,2178
S002,17,supermarket,ham,2182
S002,17,supermarket,turkey,2968
S002,17,supermarket,beef,1156
S002,17,supermarket,bologna,6220
S002,17,supermarket,salami,2143
S002,17,supermarket,pasta,3690
