method,simnum,subjects,hit,miss,fa,cr,cost,startseed
kenett,0,26,242,151,232,12095,383.0,
fe,0,26,71,322,0,12327,322.0,
rw,0,27,388,5,693,11634,698.0,
goni,0,27,351,42,247,12080,289.0,
kenett,0,27,248,145,226,12101,371.0,
fe,0,27,74,319,0,12327,319.0,
rw,0,28,390,3,707,11620,710.0,
goni,0,28,352,41,262,12065,303.0,
kenett,0,28,247,146,227,12100,373.0,
fe,0,28,75,318,0,12327,318.0,
rw,0,29,390,3,726,11601,729.0,
goni,0,29,355,38,273,12054,311.0,
kenett,0,29,251,142,223,12104,365.0,
fe,0,29,78,315,0,12327,315.0,
rw,0,30,390,3,745,11582,748.0,
goni,0,30,354,39,291,12036,330.0,
kenett,0,30,260,133,214,12113,347.0,
fe,0,30,81,312,0,12327,312.0,
rw,0,31,390,3,780,11547,783.0,
goni,0,31,354,39,296,12031,335.0,
kenett,0,31,255,138,219,12108,357.0,
fe,0,31,81,312,0,12327,312.0,
rw,0,32,390,3,803,11524,806.0,
goni,0,32,359,34,301,12026,335.0,
kenett,0,32,260,133,214,12113,347.0,
fe,0,32,82,311,0,12327,311.0,
rw,0,33,390,3,824,11503,827.0,
goni,0,33,360,33,309,12018,342.0,
kenett,0,33,262,131,212,12115,343.0,
fe,0,33,84,309,0,12327,309.0,
rw,0,34,391,2,843,11484,845.0,
goni,0,34,364,29,318,12009,347.0,
kenett,0,34,260,133,214,12113,347.0,
fe,0,34,87,306,0,12327,306.0,
rw,0,35,391,2,863,11464,865.0,
goni,0,35,365,28,320,12007,348.0,
kenett,0,35,257,136,217,12110,353.0,
fe,0,35,90,303,0,12327,303.0,
rw,0,36,391,2,880,11447,882.0,
goni,0,36,366,27,330,11997,357.0,
kenett,0,36,262,131,212,12115,343.0,
fe,0,36,92,301,0,12327,301.0,
rw,0,37,391,2,897,11430,899.0,
goni,0,37,366,27,328,11999,355.0,
kenett,0,37,260,133,214,12113,347.0,
fe,0,37,94,299,0,12327,299.0,
rw,0,38,391,2,912,11415,914.0,
goni,0,38,368,25,335,11992,360.0,
kenett,0,38,266,127,208,12119,335.0,
fe,0,38,96,297,0,12327,297.0,
rw,0,39,391,2,931,11396,933.0,
goni,0,39,367,26,334,11993,360.0,
kenett,0,39,265,128,209,12118,337.0,
fe,0,39,98,295,0,12327,295.0,
rw,0,40,392,1,944,11383,945.0,
goni,0,40,369,24,345,11982,369.0,
kenett,0,40,266,127,208,12119,335.0,
fe,0,40,101,292,0,12327,292.0,
rw,0,41,392,1,966,11361,967.0,
goni,0,41,370,23,352,11975,375.0,
kenett,0,41,264,129,210,12117,339.0,
fe,0,41,104,289,0,12327,289.0,
rw,0,42,392,1,982,11345,983.0,
goni,0,42,370,23,358,11969,381.0,
kenett,0,42,268,125,206,12121,331.0,
fe,0,42,107,286,0,12327,286.0,
rw,0,43,392,1,1006,11321,1007.0,
goni,0,43,374,19,360,11967,379.0,
kenett,0,43,266,127,208,12119,335.0,
fe,0,43,110,283,0,12327,283.0,
rw,0,44,392,1,1024,11303,1025.0,
goni,0,44,375,18,366,11961,384.0,
kenett,0,44,260,133,214,12113,347.0,
fe,0,44,110,283,0,12327,283.0,
rw,0,45,392,1,1037,11290,1038.0,
goni,0,45,375,18,382,11945,400.0,
kenett,0,45,261,132,213,12114,345.0,
fe,0,45,113,280,0,12327,280.0,
rw,0,46,392,1,1058,11269,1059.0,
goni,0,46,376,17,390,11937,407.0,
kenett,0,46,266,127,208,12119,335.0,
fe,0,46,115,278,0,12327,278.0,
rw,0,47,392,1,1076,11251,1077.0,
goni,0,47,375,18,391,11936,409.0,
kenett,0,47,268,125,206,12121,331.0,
fe,0,47,118,275,0,12327,275.0,
rw,0,48,392,1,1099,11228,1100.0,
goni,0,48,374,19,393,11934,412.0,
kenett,0,48,268,125,206,12121,331.0,
fe,0,48,119,274,0,12327,274.0,
rw,0,49,392,1,1120,11207,1121.0,
goni,0,49,377,16,400,11927,416.0,
kenett,0,49,266,127,208,12119,335.0,
fe,0,49,121,272,0,12327,272.0,
rw,0,50,392,1,1137,11190,1138.0,
goni,0,50,378,15,405,11922,420.0,
kenett,0,50,272,121,202,12125,323.0,
fe,0,50,124,269,0,12327,269.0,
rw,1,1,66,327,29,12298,356.0,
goni,1,1,9,384,2,12325,386.0,
kenett,1,1,11,382,190,12137,572.0,
fe,1,1,3,390,0,12327,390.0,
rw,1,2,122,271,56,12271,327.0,
goni,1,2,36,357,7,12320,364.0,
kenett,1,2,17,376,322,12005,698.0,
fe,1,2,6,387,0,12327,387.0,
rw,1,3,164,229,91,12236,320.0,
goni,1,3,60,333,18,12309,351.0,
kenett,1,3,20,373,379,11948,752.0,
fe,1,3,9,384,0,12327,384.0,
rw,1,4,207,186,119,12208,305.0,
goni,1,4,84,309,28,12299,337.0,
kenett,1,4,15,378,420,11907,798.0,
fe,1,4,12,381,0,12327,381.0,
rw,1,5,232,161,152,12175,313.0,
goni,1,5,109,284,36,12291,320.0,
kenett,1,5,20,373,427,11900,800.0,
fe,1,5,14,379,0,12327,379.0,
rw,1,6,261,132,186,12141,318.0,
goni,1,6,136,257,46,12281,303.0,
kenett,1,6,21,372,435,11892,807.0,
fe,1,6,17,376,0,12327,376.0,
rw,1,7,278,115,215,12112,330.0,
goni,1,7,162,231,53,12274,284.0,
kenett,1,7,17,376,445,11882,821.0,
fe,1,7,20,373,0,12327,373.0,
rw,1,8,298,95,252,12075,347.0,
goni,1,8,190,203,69,12258,272.0,
kenett,1,8,15,378,447,11880,825.0,
fe,1,8,23,370,0,12327,370.0,
rw,1,9,311,82,279,12048,361.0,
goni,1,9,200,193,70,12257,263.0,
kenett,1,9,177,216,297,12030,513.0,
fe,1,9,26,367,0,12327,367.0,
rw,1,10,322,71,298,12029,369.0,
goni,1,10,223,170,91,12236,261.0,
kenett,1,10,181,212,293,12034,505.0,
fe,1,10,29,364,0,12327,364.0,
rw,1,11,335,58,320,12007,378.0,
goni,1,11,233,160,95,12232,255.0,
kenett,1,11,188,205,286,12041,491.0,
fe,1,11,32,361,0,12327,361.0,
rw,1,12,344,49,343,11984,392.0,
goni,1,12,243,150,106,12221,256.0,
kenett,1,12,199,194,275,12052,469.0,
fe,1,12,35,358,0,12327,358.0,
rw,1,13,351,42,383,11944,425.0,
goni,1,13,265,128,121,12206,249.0,
kenett,1,13,205,188,269,12058,457.0,
fe,1,13,37,356,0,12327,356.0,
rw,1,14,361,32,413,11914,445.0,
goni,1,14,275,118,150,12177,268.0,
kenett,1,14,207,186,267,12060,453.0,
fe,1,14,40,353,0,12327,353.0,
rw,1,15,367,26,441,11886,467.0,
goni,1,15,286,107,147,12180,254.0,
kenett,1,15,215,178,259,12068,437.0,
fe,1,15,42,351,0,12327,351.0,
rw,1,16,372,21,470,11857,491.0,
goni,1,16,295,98,162,12165,260.0,
kenett,1,16,224,169,250,12077,419.0,
fe,1,16,45,348,0,12327,348.0,
rw,1,17,375,18,491,11836,509.0,
goni,1,17,306,87,178,12149,265.0,
kenett,1,17,224,169,250,12077,419.0,
fe,1,17,48,345,0,12327,345.0,
rw,1,18,377,16,512,11815,528.0,
goni,1,18,305,88,181,12146,269.0,
kenett,1,18,231,162,243,12084,405.0,
fe,1,18,50,343,0,12327,343.0,
rw,1,19,380,13,535,11792,548.0,
goni,1,19,311,82,188,12139,270.0,
kenett,1,19,229,164,245,12082,409.0,
fe,1,19,52,341,0,12327,341.0,
rw,1,20,380,13,556,11771,569.0,
goni,1,20,322,71,196,12131,267.0,
kenett,1,20,237,156,237,12090,393.0,
fe,1,20,55,338,0,12327,338.0,
rw,1,21,381,12,574,11753,586.0,
goni,1,21,324,69,205,12122,274.0,
kenett,1,21,247,146,227,12100,373.0,
fe,1,21,58,335,0,12327,335.0,
rw,1,22,383,10,593,11734,603.0,
goni,1,22,324,69,206,12121,275.0,
kenett,1,22,246,147,228,12099,375.0,
fe,1,22,61,332,0,12327,332.0,
rw,1,23,383,10,616,11711,626.0,
goni,1,23,330,63,223,12104,286.0,
kenett,1,23,243,150,231,12096,381.0,
fe,1,23,63,330,0,12327,330.0,
rw,1,24,384,9,633,11694,642.0,
goni,1,24,334,59,229,12098,288.0,
kenett,1,24,240,153,234,12093,387.0,
fe,1,24,65,328,0,12327,328.0,
rw,1,25,384,9,656,11671,665.0,
goni,1,25,334,59,237,12090,296.0,
kenett,1,25,240,153,234,12093,387.0,
fe,1,25,67,326,0,12327,326.0,
rw,1,26,385,8,677,11650,685.0,
goni,1,26,339,54,253,12074,307.0,
kenett,1,26,247,146,227,12100,373.0,
fe,1,26,69,324,0,12327,324.0,
rw,1,27,386,7,697,11630,704.0,
goni,1,27,347,46,256,12071,302.0,
kenett,1,27,246,147,228,12099,375.0,
fe,1,27,72,321,0,12327,321.0,
rw,1,28,387,6,724,11603,730.0,
goni,1,28,353,40,269,12058,309.0,
kenett,1,28,252,141,222,12105,363.0,
fe,1,28,74,319,0,12327,319.0,
rw,1,29,388,5,748,11579,753.0,
goni,1,29,354,39,286,12041,325.0,
kenett,1,29,257,136,217,12110,353.0,
fe,1,29,76,317,0,12327,317.0,
rw,1,30,388,5,770,11557,775.0,
goni,1,30,358,35,292,12035,327.0,
kenett,1,30,261,132,213,12114,345.0,
fe,1,30,76,317,0,12327,317.0,
rw,1,31,388,5,790,11537,795.0,
goni,1,31,360,33,300,12027,333.0,
kenett,1,31,261,132,213,12114,345.0,
fe,1,31,78,315,0,12327,315.0,
rw,1,32,389,4,809,11518,813.0,
goni,1,32,362,31,297,12030,328.0,
kenett,1,32,257,136,217,12110,353.0,
fe,1,32,81,312,0,12327,312.0,
rw,1,33,389,4,829,11498,833.0,
goni,1,33,364,29,302,12025,331.0,
kenett,1,33,265,128,209,12118,337.0,
fe,1,33,82,311,0,12327,311.0,
rw,1,34,389,4,847,11480,851.0,
goni,1,34,366,27,306,12021,333.0,
kenett,1,34,265,128,209,12118,337.0,
fe,1,34,84,309,0,12327,309.0,
rw,1,35,389,4,869,11458,873.0,
goni,1,35,365,28,314,12013,342.0,
kenett,1,35,257,136,217,12110,353.0,
fe,1,35,87,306,0,12327,306.0,
rw,1,36,389,4,891,11436,895.0,
goni,1,36,367,26,321,12006,347.0,
kenett,1,36,260,133,214,12113,347.0,
fe,1,36,90,303,0,12327,303.0,
rw,1,37,389,4,910,11417,914.0,
goni,1,37,368,25,329,11998,354.0,
kenett,1,37,256,137,218,12109,355.0,
fe,1,37,93,300,0,12327,300.0,
rw,1,38,389,4,925,11402,929.0,
goni,1,38,370,23,335,11992,358.0,
kenett,1,38,254,139,220,12107,359.0,
fe,1,38,95,298,0,12327,298.0,
rw,1,39,389,4,940,11387,944.0,
goni,1,39,371,22,344,11983,366.0,
kenett,1,39,254,139,220,12107,359.0,
fe,1,39,98,295,0,12327,295.0,
rw,1,40,389,4,954,11373,958.0,
goni,1,40,373,20,346,11981,366.0,
kenett,1,40,257,136,217,12110,353.0,
fe,1,40,99,294,0,12327,294.0,
rw,1,41,389,4,976,11351,980.0,
goni,1,41,373,20,345,11982,365.0,
kenett,1,41,259,134,215,12112,349.0,
fe,1,41,101,292,0,12327,292.0,
rw,1,42,389,4,1002,11325,1006.0,
goni,1,42,375,18,364,11963,382.0,
kenett,1,42,263,130,211,12116,341.0,
fe,1,42,102,291,0,12327,291.0,
rw,1,43,389,4,1024,11303,1028.0,
goni,1,43,376,17,368,11959,385.0,
kenett,1,43,275,118,199,12128,317.0,
fe,1,43,105,288,0,12327,288.0,
rw,1,44,389,4,1036,11291,1040.0,
goni,1,44,378,15,372,11955,387.0,
kenett,1,44,269,124,205,12122,329.0,
fe,1,44,107,286,0,12327,286.0,
rw,1,45,390,3,1054,11273,1057.0,
goni,1,45,377,16,379,11948,395.0,
kenett,1,45,272,121,202,12125,323.0,
fe,1,45,109,284,0,12327,284.0,
rw,1,46,390,3,1070,11257,1073.0,
goni,1,46,375,18,392,11935,410.0,
kenett,1,46,278,115,196,12131,311.0,
fe,1,46,112,281,0,12327,281.0,
rw,1,47,390,3,1085,11242,1088.0,
goni,1,47,375,18,405,11922,423.0,
kenett,1,47,275,118,199,12128,317.0,
fe,1,47,115,278,0,12327,278.0,
rw,1,48,391,2,1100,11227,1102.0,
goni,1,48,376,17,412,11915,429.0,
kenett,1,48,274,119,200,12127,319.0,
fe,1,48,117,276,0,12327,276.0,
rw,1,49,391,2,1119,11208,1121.0,
goni,1,49,377,16,421,11906,437.0,
kenett,1,49,272,121,202,12125,323.0,
fe,1,49,119,274,0,12327,274.0,
rw,1,50,391,2,1138,11189,1140.0,
goni,1,50,376,17,420,11907,437.0,
kenett,1,50,276,117,198,12129,315.0,
fe,1,50,120,273,0,12327,273.0,
rw,2,1,71,322,29,12298,351.0,
goni,2,1,4,389,0,12327,389.0,
kenett,2,1,9,384,228,12099,612.0,
fe,2,1,3,390,0,12327,390.0,
rw,2,2,134,259,47,12280,306.0,
goni,2,2,34,359,7,12320,366.0,
kenett,2,2,18,375,321,12006,696.0,
fe,2,2,6,387,0,12327,387.0,
rw,2,3,184,209,73,12254,282.0,
goni,2,3,64,329,17,12310,346.0,
kenett,2,3,20,373,373,11954,746.0,
fe,2,3,9,384,0,12327,384.0,
rw,2,4,222,171,109,12218,280.0,
goni,2,4,91,302,19,12308,321.0,
kenett,2,4,20,373,421,11906,794.0,
fe,2,4,12,381,0,12327,381.0,
rw,2,5,244,149,138,12189,287.0,
goni,2,5,117,276,34,12293,310.0,
kenett,2,5,15,378,441,11886,819.0,
fe,2,5,14,379,0,12327,379.0,
rw,2,6,264,129,172,12155,301.0,
goni,2,6,142,251,45,12282,296.0,
kenett,2,6,29,364,430,11897,794.0,
fe,2,6,17,376,0,12327,376.0,
rw,2,7,280,113,201,12126,314.0,
goni,2,7,172,221,58,12269,279.0,
kenett,2,7,21,372,438,11889,810.0,
fe,2,7,20,373,0,12327,373.0,
rw,2,8,303,90,236,12091,326.0,
goni,2,8,195,198,76,12251,274.0,
kenett,2,8,21,372,441,11886,813.0,
fe,2,8,23,370,0,12327,370.0,
rw,2,9,323,70,264,12063,334.0,
goni,2,9,213,180,82,12245,262.0,
kenett,2,9,16,377,449,11878,826.0,
fe,2,9,25,368,0,12327,368.0,
rw,2,10,328,65,297,12030,362.0,
goni,2,10,237,156,89,12238,245.0,
kenett,2,10,12,381,453,11874,834.0,
fe,2,10,27,366,0,12327,366.0,
rw,2,11,335,58,324,12003,382.0,
goni,2,11,248,145,95,12232,240.0,
kenett,2,11,17,376,448,11879,824.0,
fe,2,11,29,364,0,12327,364.0,
rw,2,12,343,50,346,11981,396.0,
goni,2,12,259,134,118,12209,252.0,
kenett,2,12,28,365,443,11884,808.0,
fe,2,12,32,361,0,12327,361.0,
rw,2,13,354,39,370,11957,409.0,
goni,2,13,269,124,141,12186,265.0,
kenett,2,13,31,362,440,11887,802.0,
fe,2,13,35,358,0,12327,358.0,
rw,2,14,357,36,396,11931,432.0,
goni,2,14,281,112,156,12171,268.0,
kenett,2,14,29,364,442,11885,806.0,
fe,2,14,38,355,0,12327,355.0,
rw,2,15,367,26,416,11911,442.0,
goni,2,15,293,100,169,12158,269.0,
kenett,2,15,32,361,439,11888,800.0,
fe,2,15,40,353,0,12327,353.0,
rw,2,16,368,25,444,11883,469.0,
goni,2,16,303,90,172,12155,262.0,
kenett,2,16,31,362,440,11887,802.0,
fe,2,16,42,351,0,12327,351.0,
rw,2,17,376,17,470,11857,487.0,
goni,2,17,307,86,183,12144,269.0,
kenett,2,17,33,360,438,11889,798.0,
fe,2,17,45,348,0,12327,348.0,
rw,2,18,379,14,497,11830,511.0,
goni,2,18,321,72,193,12134,265.0,
kenett,2,18,27,366,444,11883,810.0,
fe,2,18,47,346,0,12327,346.0,
rw,2,19,381,12,522,11805,534.0,
goni,2,19,325,68,204,12123,272.0,
kenett,2,19,40,353,431,11896,784.0,
fe,2,19,50,343,0,12327,343.0,
rw,2,20,382,11,556,11771,567.0,
goni,2,20,325,68,204,12123,272.0,
kenett,2,20,228,165,246,12081,411.0,
fe,2,20,52,341,0,12327,341.0,
rw,2,21,384,9,578,11749,587.0,
goni,2,21,331,62,216,12111,278.0,
kenett,2,21,232,161,242,12085,403.0,
fe,2,21,55,338,0,12327,338.0,
rw,2,22,387,6,605,11722,611.0,
goni,2,22,331,62,217,12110,279.0,
kenett,2,22,239,154,235,12092,389.0,
fe,2,22,57,336,0,12327,336.0,
rw,2,23,389,4,620,11707,624.0,
goni,2,23,338,55,232,12095,287.0,
kenett,2,23,241,152,233,12094,385.0,
fe,2,23,58,335,0,12327,335.0,
rw,2,24,389,4,637,11690,641.0,
goni,2,24,343,50,238,12089,288.0,
kenett,2,24,235,158,239,12088,397.0,
fe,2,24,61,332,0,12327,332.0,
rw,2,25,389,4,665,11662,669.0,
goni,2,25,344,49,239,12088,288.0,
kenett,2,25,244,149,230,12097,379.0,
fe,2,25,64,329,0,12327,329.0,
rw,2,26,389,4,687,11640,691.0,
goni,2,26,348,45,256,12071,301.0,
kenett,2,26,250,143,224,12103,367.0,
fe,2,26,65,328,0,12327,328.0,
rw,2,27,389,4,703,11624,707.0,
goni,2,27,352,41,261,12066,302.0,
kenett,2,27,246,147,228,12099,375.0,
fe,2,27,67,326,0,12327,326.0,
rw,2,28,390,3,720,11607,723.0,
goni,2,28,352,41,266,12061,307.0,
kenett,2,28,259,134,215,12112,349.0,
fe,2,28,70,323,0,12327,323.0,
rw,2,29,392,1,748,11579,749.0,
goni,2,29,352,41,276,12051,317.0,
kenett,2,29,248,145,226,12101,371.0,
fe,2,29,72,321,0,12327,321.0,
rw,2,30,392,1,761,11566,762.0,
goni,2,30,354,39,284,12043,323.0,
kenett,2,30,250,143,224,12103,367.0,
fe,2,30,75,318,0,12327,318.0,
rw,2,31,392,1,780,11547,781.0,
goni,2,31,358,35,290,12037,325.0,
kenett,2,31,263,130,211,12116,341.0,
fe,2,31,78,315,0,12327,315.0,
rw,2,32,392,1,799,11528,800.0,
goni,2,32,363,30,306,12021,336.0,
kenett,2,32,260,133,214,12113,347.0,
fe,2,32,81,312,0,12327,312.0,
rw,2,33,392,1,821,11506,822.0,
goni,2,33,364,29,302,12025,331.0,
kenett,2,33,269,124,205,12122,329.0,
fe,2,33,84,309,0,12327,309.0,
rw,2,34,392,1,843,11484,844.0,
goni,2,34,367,26,311,12016,337.0,
kenett,2,34,260,133,214,12113,347.0,
fe,2,34,87,306,0,12327,306.0,
rw,2,35,392,1,864,11463,865.0,
goni,2,35,366,27,316,12011,343.0,
kenett,2,35,267,126,207,12120,333.0,
fe,2,35,90,303,0,12327,303.0,
rw,2,36,392,1,885,11442,886.0,
goni,2,36,365,28,325,12002,353.0,
kenett,2,36,267,126,207,12120,333.0,
fe,2,36,92,301,0,12327,301.0,
rw,2,37,392,1,909,11418,910.0,
goni,2,37,367,26,337,11990,363.0,
kenett,2,37,271,122,203,12124,325.0,
fe,2,37,95,298,0,12327,298.0,
rw,2,38,392,1,931,11396,932.0,
goni,2,38,370,23,344,11983,367.0,
kenett,2,38,270,123,204,12123,327.0,
fe,2,38,97,296,0,12327,296.0,
rw,2,39,392,1,949,11378,950.0,
goni,2,39,368,25,357,11970,382.0,
kenett,2,39,270,123,204,12123,327.0,
fe,2,39,99,294,0,12327,294.0,
rw,2,40,392,1,965,11362,966.0,
goni,2,40,371,22,374,11953,396.0,
kenett,2,40,271,122,203,12124,325.0,
fe,2,40,101,292,0,12327,292.0,
rw,2,41,392,1,975,11352,976.0,
goni,2,41,373,20,380,11947,400.0,
kenett,2,41,270,123,204,12123,327.0,
fe,2,41,104,289,0,12327,289.0,
rw,2,42,392,1,989,11338,990.0,
goni,2,42,373,20,389,11938,409.0,
kenett,2,42,278,115,196,12131,311.0,
fe,2,42,106,287,0,12327,287.0,
rw,2,43,392,1,1008,11319,1009.0,
goni,2,43,375,18,397,11930,415.0,
kenett,2,43,277,116,197,12130,313.0,
fe,2,43,108,285,0,12327,285.0,
rw,2,44,392,1,1029,11298,1030.0,
goni,2,44,375,18,399,11928,417.0,
kenett,2,44,278,115,196,12131,311.0,
fe,2,44,111,282,0,12327,282.0,
rw,2,45,392,1,1047,11280,1048.0,
goni,2,45,377,16,401,11926,417.0,
kenett,2,45,274,119,200,12127,319.0,
fe,2,45,113,280,0,12327,280.0,
rw,2,46,392,1,1060,11267,1061.0,
goni,2,46,377,16,400,11927,416.0,
kenett,2,46,270,123,204,12123,327.0,
fe,2,46,114,279,0,12327,279.0,
rw,2,47,393,0,1082,11245,1082.0,
goni,2,47,378,15,407,11920,422.0,
kenett,2,47,281,112,193,12134,305.0,
fe,2,47,116,277,0,12327,277.0,
rw,2,48,393,0,1103,11224,1103.0,
goni,2,48,378,15,409,11918,424.0,
kenett,2,48,282,111,192,12135,303.0,
fe,2,48,117,276,0,12327,276.0,
rw,2,49,393,0,1123,11204,1123.0,
goni,2,49,378,15,416,11911,431.0,
kenett,2,49,279,114,195,12132,309.0,
fe,2,49,120,273,0,12327,273.0,
rw,2,50,393,0,1141,11186,1141.0,
goni,2,50,377,16,429,11898,445.0,
kenett,2,50,289,104,185,12142,289.0,
fe,2,50,123,270,0,12327,270.0,
rw,3,1,63,330,33,12294,363.0,
goni,3,1,9,384,5,12322,389.0,
kenett,3,1,7,386,200,12127,586.0,
fe,3,1,3,390,0,12327,390.0,
rw,3,2,120,273,64,12263,337.0,
goni,3,2,34,359,13,12314,372.0,
kenett,3,2,15,378,318,12009,696.0,
fe,3,2,6,387,0,12327,387.0,
rw,3,3,173,220,90,12237,310.0,
goni,3,3,65,328,22,12305,350.0,
kenett,3,3,14,379,379,11948,758.0,
fe,3,3,9,384,0,12327,384.0,
rw,3,4,214,179,113,12214,292.0,
goni,3,4,101,292,29,12298,321.0,
kenett,3,4,16,377,413,11914,790.0,
fe,3,4,11,382,0,12327,382.0,
rw,3,5,235,158,151,12176,309.0,
goni,3,5,124,269,42,12285,311.0,
kenett,3,5,18,375,426,11901,801.0,
fe,3,5,14,379,0,12327,379.0,
rw,3,6,262,131,177,12150,308.0,
goni,3,6,155,238,49,12278,287.0,
kenett,3,6,17,376,436,11891,812.0,
fe,3,6,16,377,0,12327,377.0,
rw,3,7,285,108,212,12115,320.0,
goni,3,7,173,220,61,12266,281.0,
kenett,3,7,23,370,442,11885,812.0,
fe,3,7,19,374,0,12327,374.0,
rw,3,8,301,92,236,12091,328.0,
goni,3,8,186,207,72,12255,279.0,
kenett,3,8,24,369,441,11886,810.0,
fe,3,8,22,371,0,12327,371.0,
rw,3,9,313,80,264,12063,344.0,
goni,3,9,207,186,82,12245,268.0,
kenett,3,9,23,370,442,11885,812.0,
fe,3,9,25,368,0,12327,368.0,
rw,3,10,325,68,293,12034,361.0,
goni,3,10,222,171,98,12229,269.0,
kenett,3,10,40,353,431,11896,784.0,
fe,3,10,27,366,0,12327,366.0,
rw,3,11,331,62,326,12001,388.0,
goni,3,11,228,165,106,12221,271.0,
kenett,3,11,40,353,431,11896,784.0,
fe,3,11,30,363,0,12327,363.0,
rw,3,12,342,51,349,11978,400.0,
goni,3,12,239,154,123,12204,277.0,
kenett,3,12,37,356,434,11893,790.0,
fe,3,12,32,361,0,12327,361.0,
rw,3,13,349,44,375,11952,419.0,
goni,3,13,252,141,134,12193,275.0,
kenett,3,13,35,358,436,11891,794.0,
fe,3,13,35,358,0,12327,358.0,
rw,3,14,355,38,401,11926,439.0,
