subj,item1,item2,uinvite_flat
NA,fawn,polarbear,0,
NA,fawn,squirrel,0,
NA,fawn,tiger,0,
NA,fawn,wildcat,0,
NA,fawn,gnu,0,
NA,fawn,lizard,0,
NA,fawn,robin,0,
NA,fawn,moth,0,
NA,fawn,squid,0,
NA,fawn,rooster,0,
NA,fawn,mockingbird,0,
NA,fawn,warthog,0,
NA,fawn,mouse,0,
NA,fawn,killerwhale,0,
NA,fawn,moose,0,
NA,fawn,snail,0,
NA,fawn,leopard,0,
NA,fawn,unicorn,0,
NA,fawn,tuna,0,
NA,fawn,hummingbird,0,
NA,fawn,pitbull,0,
NA,fawn,macaque,0,
NA,fawn,wren,0,
NA,fawn,flea,0,
NA,fawn,human,0,
NA,fawn,mongoose,0,
NA,fawn,jackal,0,
NA,fawn,hat,0,
NA,fawn,raven,0,
NA,fawn,vulture,0,
NA,fawn,manatee,0,
NA,fawn,flamingo,0,
NA,fawn,tick,0,
NA,fawn,marlin,0,
NA,fawn,marmoset,0,
NA,fawn,mosquito,0,
NA,fawn,walrus,0,
NA,fawn,firefly,0,
NA,fawn,seacucumber,0,
NA,fawn,lobster,0,
NA,fawn,fox,1,
NA,fawn,rattlesnake,0,
NA,fawn,greatwhiteshark,0,
NA,fawn,lark,0,
NA,fawn,stingray,0,
NA,fawn,trout,0,
NA,fawn,slug,0,
NA,fawn,raptor,0,
NA,fawn,pika,0,
NA,fawn,shrimp,0,
NA,fawn,wolf,0,
NA,fawn,ox,0,
NA,fawn,octopus,0,
NA,fawn,meerkat,0,
NA,fawn,owl,0,
NA,fawn,hammerheadshark,0,
NA,fawn,millipede,0,
NA,fawn,graywolf,0,
NA,fawn,hen,0,
NA,fawn,hare,0,
NA,fawn,pufferfish,0,
NA,fawn,serval,0,
NA,fawn,toucan,0,
NA,fawn,otter,0,
NA,fawn,otwe,0,
NA,fawn,lynx,0,
NA,fawn,howlermonkey,0,
NA,fawn,hornet,0,
NA,fawn,pib,0,
NA,fawn,pig,0,
NA,fawn,gecko,0,
NA,fawn,mole,0,
NA,fawn,quail,0,
NA,fawn,parakeet,0,
NA,fawn,finch,0,
NA,fawn,mockingjay,0,
NA,fawn,puppy,0,
NA,fawn,wombat,0,
NA,fawn,phoenix,0,
NA,fawn,toad,0,
NA,fawn,fisher,0,
NA,fawn,gorilla,0,
NA,peacock,pheasant,0,
NA,peacock,spidermonkey,0,
NA,peacock,prairiedog,0,
NA,peacock,tasmaniandevil,0,
NA,peacock,peccary,0,
NA,peacock,swan,1,
NA,peacock,tyrannosaurusrex,0,
NA,peacock,scottishshetland,0,
NA,peacock,stinkbug,0,
NA,peacock,urangutan,0,
NA,peacock,quahog,0,
NA,peacock,wildebeest,0,
NA,peacock,tarantula,1,
NA,peacock,velociraptor,0,
NA,peacock,stallion,0,
NA,peacock,tortoise,0,
NA,peacock,raccoon,0,
NA,peacock,vole,0,
NA,peacock,weevil,0,
NA,peacock,poodle,0,
NA,peacock,rabbit,0,
NA,peacock,worm,0,
NA,peacock,seahorse,0,
NA,peacock,seagull,0,
NA,peacock,shark,0,
NA,peacock,pony,0,
NA,peacock,spermwhale,0,
NA,peacock,woodpecker,0,
NA,peacock,rhinoceros,0,
NA,peacock,possum,1,
NA,peacock,xerus,0,
NA,peacock,platypus,0,
NA,peacock,redfox,0,
NA,peacock,python,0,
NA,peacock,swordfish,0,
NA,peacock,salamander,0,
NA,peacock,snake,0,
NA,peacock,turtle,0,
NA,peacock,spider,0,
NA,peacock,persian,0,
NA,peacock,whaleshark,0,
NA,peacock,zebra,0,
NA,peacock,pigeon,0,
NA,peacock,wolverine,0,
NA,peacock,sealion,0,
NA,peacock,waterbear,0,
NA,peacock,shrew,0,
NA,peacock,sugarglider,0,
NA,peacock,redpanda,0,
NA,peacock,pelican,0,
NA,peacock,wasp,0,
NA,peacock,pteordactyl,0,
NA,peacock,whale,0,
NA,peacock,sheep,0,
NA,peacock,terrier,0,
NA,peacock,stork,0,
NA,peacock,starfish,0,
NA,peacock,steer,0,
NA,peacock,ram,0,
NA,peacock,rat,0,
NA,peacock,ray,0,
NA,peacock,tapir,0,
NA,peacock,salmon,0,
NA,peacock,sunbear,0,
NA,peacock,skunk,0,
NA,peacock,sparrow,0,
NA,peacock,scorpion,0,
NA,peacock,sabertoothedtiger,0,
NA,peacock,piranha,0,
NA,peacock,penguin,0,
NA,peacock,porcupine,0,
NA,peacock,tabby,0,
NA,peacock,seal,0,
NA,peacock,puma,0,
NA,peacock,woodchuck,0,
NA,peacock,viper,0,
NA,peacock,zebu,0,
NA,peacock,wallaby,0,
NA,peacock,swallow,0,
NA,peacock,treefrog,0,
NA,peacock,sloth,0,
NA,peacock,sandshark,0,
NA,peacock,weasel,0,
NA,peacock,turkey,0,
NA,peacock,reindeer,0,
NA,peacock,yak,0,
NA,peacock,polarbear,1,
NA,peacock,squirrel,0,
NA,peacock,tiger,0,
NA,peacock,wildcat,0,
NA,peacock,robin,0,
NA,peacock,squid,0,
NA,peacock,rooster,1,
NA,peacock,warthog,0,
NA,peacock,snail,0,
NA,peacock,unicorn,0,
NA,peacock,tuna,0,
NA,peacock,pitbull,0,
NA,peacock,wren,0,
NA,peacock,raven,0,
NA,peacock,vulture,1,
NA,peacock,tick,0,
NA,peacock,walrus,0,
NA,peacock,seacucumber,0,
NA,peacock,rattlesnake,0,
NA,peacock,stingray,0,
NA,peacock,trout,0,
NA,peacock,slug,0,
NA,peacock,raptor,0,
NA,peacock,pika,0,
NA,peacock,shrimp,0,
NA,peacock,wolf,0,
NA,peacock,pufferfish,0,
NA,peacock,serval,0,
NA,peacock,toucan,0,
NA,peacock,pib,0,
NA,peacock,pig,0,
NA,peacock,quail,0,
NA,peacock,puppy,0,
NA,peacock,wombat,0,
NA,peacock,phoenix,0,
NA,peacock,toad,0,
NA,pheasant,spidermonkey,0,
NA,pheasant,prairiedog,0,
NA,pheasant,tasmaniandevil,0,
NA,pheasant,swan,0,
NA,pheasant,tyrannosaurusrex,0,
NA,pheasant,scottishshetland,0,
NA,pheasant,stinkbug,0,
NA,pheasant,urangutan,0,
NA,pheasant,quahog,0,
NA,pheasant,wildebeest,0,
NA,pheasant,tarantula,0,
NA,pheasant,velociraptor,0,
NA,pheasant,stallion,0,
NA,pheasant,tortoise,0,
NA,pheasant,raccoon,0,
NA,pheasant,vole,0,
NA,pheasant,weevil,0,
NA,pheasant,poodle,0,
NA,pheasant,rabbit,0,
NA,pheasant,worm,0,
NA,pheasant,seahorse,0,
NA,pheasant,seagull,0,
NA,pheasant,shark,0,
NA,pheasant,pony,0,
NA,pheasant,spermwhale,0,
NA,pheasant,woodpecker,0,
NA,pheasant,rhinoceros,0,
NA,pheasant,possum,0,
NA,pheasant,xerus,0,
NA,pheasant,platypus,0,
NA,pheasant,redfox,0,
NA,pheasant,python,0,
NA,pheasant,swordfish,0,
NA,pheasant,salamander,0,
NA,pheasant,snake,0,
NA,pheasant,turtle,0,
NA,pheasant,spider,0,
NA,pheasant,whaleshark,0,
NA,pheasant,zebra,0,
NA,pheasant,pigeon,1,
NA,pheasant,wolverine,0,
NA,pheasant,sealion,0,
NA,pheasant,waterbear,0,
NA,pheasant,shrew,0,
NA,pheasant,sugarglider,0,
NA,pheasant,redpanda,0,
NA,pheasant,wasp,0,
NA,pheasant,pteordactyl,0,
NA,pheasant,whale,0,
NA,pheasant,sheep,0,
NA,pheasant,terrier,0,
NA,pheasant,stork,0,
NA,pheasant,starfish,0,
NA,pheasant,steer,0,
NA,pheasant,ram,0,
NA,pheasant,rat,0,
NA,pheasant,ray,0,
NA,pheasant,tapir,0,
NA,pheasant,salmon,0,
NA,pheasant,sunbear,0,
NA,pheasant,skunk,0,
NA,pheasant,sparrow,0,
NA,pheasant,scorpion,0,
NA,pheasant,sabertoothedtiger,0,
NA,pheasant,piranha,0,
NA,pheasant,porcupine,0,
NA,pheasant,tabby,0,
NA,pheasant,seal,0,
NA,pheasant,puma,0,
NA,pheasant,woodchuck,0,
NA,pheasant,viper,0,
NA,pheasant,zebu,0,
NA,pheasant,wallaby,0,
NA,pheasant,swallow,0,
NA,pheasant,treefrog,0,
NA,pheasant,sloth,0,
NA,pheasant,sandshark,0,
NA,pheasant,weasel,0,
NA,pheasant,turkey,0,
NA,pheasant,reindeer,0,
NA,pheasant,yak,0,
NA,pheasant,polarbear,0,
NA,pheasant,squirrel,0,
NA,pheasant,tiger,0,
NA,pheasant,wildcat,0,
NA,pheasant,robin,0,
NA,pheasant,squid,0,
NA,pheasant,rooster,0,
NA,pheasant,warthog,0,
NA,pheasant,snail,0,
NA,pheasant,unicorn,0,
NA,pheasant,tuna,0,
NA,pheasant,pitbull,0,
NA,pheasant,wren,0,
NA,pheasant,raven,0,
NA,pheasant,vulture,0,
NA,pheasant,tick,0,
NA,pheasant,walrus,0,
NA,pheasant,seacucumber,0,
NA,pheasant,rattlesnake,0,
NA,pheasant,stingray,0,
NA,pheasant,trout,0,
NA,pheasant,slug,0,
NA,pheasant,raptor,0,
NA,pheasant,pika,0,
NA,pheasant,shrimp,0,
NA,pheasant,wolf,0,
NA,pheasant,pufferfish,0,
NA,pheasant,serval,0,
NA,pheasant,toucan,0,
NA,pheasant,pib,0,
NA,pheasant,pig,0,
NA,pheasant,quail,1,
NA,pheasant,puppy,0,
NA,pheasant,wombat,0,
NA,pheasant,phoenix,0,
NA,pheasant,toad,0,
NA,spidermonkey,tasmaniandevil,0,
NA,spidermonkey,swan,0,
NA,spidermonkey,tyrannosaurusrex,0,
NA,spidermonkey,stinkbug,0,
NA,spidermonkey,urangutan,0,
NA,spidermonkey,wildebeest,0,
NA,spidermonkey,tarantula,0,
NA,spidermonkey,velociraptor,0,
NA,spidermonkey,stallion,0,
NA,spidermonkey,tortoise,0,
NA,spidermonkey,vole,0,
NA,spidermonkey,weevil,0,
NA,spidermonkey,worm,0,
NA,spidermonkey,woodpecker,0,
NA,spidermonkey,xerus,0,
NA,spidermonkey,swordfish,0,
NA,spidermonkey,turtle,0,
NA,spidermonkey,whaleshark,0,
NA,spidermonkey,zebra,0,
NA,spidermonkey,wolverine,0,
NA,spidermonkey,waterbear,0,
NA,spidermonkey,sugarglider,0,
NA,spidermonkey,wasp,0,
NA,spidermonkey,whale,0,
NA,spidermonkey,terrier,0,
NA,spidermonkey,stork,0,
NA,spidermonkey,starfish,0,
NA,spidermonkey,steer,0,
NA,spidermonkey,tapir,0,
NA,spidermonkey,sunbear,0,
NA,spidermonkey,tabby,0,
NA,spidermonkey,woodchuck,0,
NA,spidermonkey,viper,0,
NA,spidermonkey,zebu,0,
NA,spidermonkey,wallaby,0,
NA,spidermonkey,swallow,0,
NA,spidermonkey,treefrog,0,
NA,spidermonkey,weasel,0,
NA,spidermonkey,turkey,0,
NA,spidermonkey,yak,0,
NA,spidermonkey,squirrel,0,
NA,spidermonkey,tiger,0,
NA,spidermonkey,wildcat,0,
NA,spidermonkey,squid,0,
NA,spidermonkey,warthog,0,
NA,spidermonkey,unicorn,0,
NA,spidermonkey,tuna,0,
NA,spidermonkey,wren,0,
NA,spidermonkey,vulture,0,
NA,spidermonkey,tick,0,
NA,spidermonkey,walrus,0,
NA,spidermonkey,stingray,0,
NA,spidermonkey,trout,0,
NA,spidermonkey,wolf,0,
NA,spidermonkey,toucan,0,
NA,spidermonkey,wombat,0,
NA,spidermonkey,toad,0,
NA,crocodile,fawn,0,
NA,crocodile,peacock,0,
NA,crocodile,pheasant,0,
NA,crocodile,spidermonkey,0,
NA,crocodile,prairiedog,0,
NA,crocodile,tasmaniandevil,0,
NA,crocodile,peccary,0,
NA,crocodile,komododragon,0,
NA,crocodile,swan,0,
NA,crocodile,dragonfly,0,
NA,crocodile,tyrannosaurusrex,0,
NA,crocodile,scottishshetland,0,
NA,crocodile,llama,0,
NA,crocodile,kitten,0,
NA,crocodile,kingcobra,0,
NA,crocodile,stinkbug,0,
NA,crocodile,parrot,0,
NA,crocodile,dinosaur,0,
NA,crocodile,urangutan,0,
NA,crocodile,quahog,0,
NA,crocodile,germansheperd,0,
NA,crocodile,crow,0,
NA,crocodile,grasshopper,0,
NA,crocodile,labradorretriever,0,
NA,crocodile,panda,0,
NA,crocodile,wildebeest,0,
NA,crocodile,tarantula,0,
NA,crocodile,velociraptor,0,
NA,crocodile,kangaroo,0,
NA,crocodile,stallion,0,
NA,crocodile,mule,0,
NA,crocodile,ibis,0,
NA,crocodile,goldfish,0,
NA,crocodile,tortoise,0,
NA,crocodile,mantis,0,
NA,crocodile,hamster,0,
NA,crocodile,orangutan,0,
NA,crocodile,raccoon,0,
NA,crocodile,mussel,0,
NA,crocodile,vole,0,
NA,crocodile,gull,0,
NA,crocodile,weevil,0,
NA,crocodile,dormouse,0,
NA,crocodile,ocelot,0,
NA,crocodile,duck,0,
NA,crocodile,poodle,0,
NA,crocodile,frog,0,
NA,crocodile,goldenretriever,0,
NA,crocodile,ladybug,0,
NA,crocodile,rabbit,0,
NA,crocodile,fly,0,
NA,crocodile,dodo,0,
NA,crocodile,worm,0,
NA,crocodile,seahorse,0,
NA,crocodile,grubworm,0,
NA,crocodile,seagull,0,
NA,crocodile,daddylonglegs,0,
NA,crocodile,shark,1,
NA,crocodile,pony,0,
NA,crocodile,dolphin,0,
NA,crocodile,spermwhale,0,
NA,crocodile,jackrabbit,0,
NA,crocodile,woodpecker,0,
NA,crocodile,egret,0,
NA,crocodile,magpie,0,
NA,crocodile,rhinoceros,0,
NA,crocodile,elephant,0,
NA,crocodile,goat,0,
NA,crocodile,possum,0,
NA,crocodile,echidna,0,
NA,crocodile,maltese,0,
NA,crocodile,hawk,1,
NA,crocodile,dove,0,
NA,crocodile,jellyfish,0,
NA,crocodile,xerus,0,
NA,crocodile,platypus,0,
NA,crocodile,nakedmolerat,0,
NA,crocodile,dragon,0,
NA,crocodile,narwhal,0,
NA,crocodile,hedgehog,0,
NA,crocodile,earthworm,0,
NA,crocodile,minnow,0,
NA,crocodile,iguana,1,
NA,crocodile,muskrat,0,
NA,crocodile,monitor,0,
NA,crocodile,redfox,0,
NA,crocodile,heron,0,
NA,crocodile,kinkajou,0,
NA,crocodile,python,0,
NA,crocodile,swordfish,0,
NA,crocodile,salamander,0,
NA,crocodile,giraffe,1,
NA,crocodile,snake,1,
NA,crocodile,dingleberry,0,
NA,crocodile,mountainlion,0,
NA,crocodile,dingo,1,
NA,crocodile,turtle,1,
NA,crocodile,fish,0,
NA,crocodile,spider,0,
NA,crocodile,goose,0,
NA,crocodile,persian,0,
NA,crocodile,whaleshark,0,
NA,crocodile,zebra,0,
NA,crocodile,hippopotamus,1,
NA,crocodile,mantaray,0,
NA,crocodile,pigeon,0,
NA,crocodile,wolverine,0,
NA,crocodile,sealion,0,
NA,crocodile,liger,0,
NA,crocodile,eagle,1,
NA,crocodile,waterbear,0,
NA,crocodile,gerbil,0,
NA,crocodile,shrew,0,
NA,crocodile,sugarglider,0,
NA,crocodile,oppy,0,
NA,crocodile,lemur,0,
NA,crocodile,ostrich,0,
NA,crocodile,redpanda,0,
NA,crocodile,pelican,0,
NA,crocodile,gazelle,0,
NA,crocodile,wasp,0,
NA,crocodile,pteordactyl,0,
NA,crocodile,whale,0,
NA,crocodile,sheep,0,
NA,crocodile,horse,0,
NA,crocodile,humpbackwhale,0,
NA,crocodile,monkey,0,
NA,crocodile,terrier,0,
NA,crocodile,stork,0,
NA,crocodile,opossum,0,
NA,crocodile,starfish,0,
NA,crocodile,goby,0,
NA,crocodile,steer,0,
NA,crocodile,donkey,0,
NA,crocodile,mink,0,
NA,crocodile,macaw,0,
NA,crocodile,ram,0,
NA,crocodile,rat,0,
NA,crocodile,oriole,0,
NA,crocodile,ray,0,
NA,crocodile,koala,0,
NA,crocodile,guineapig,0,
NA,crocodile,ibex,0,
NA,crocodile,tapir,0,
NA,crocodile,salmon,0,
NA,crocodile,oyster,0,
NA,crocodile,sunbear,0,
NA,crocodile,duckling,0,
NA,crocodile,dog,1,
NA,crocodile,hyena,0,
NA,crocodile,skunk,0,
NA,crocodile,sparrow,0,
NA,crocodile,nutria,0,
NA,crocodile,gnat,0,
NA,crocodile,scorpion,0,
NA,crocodile,sabertoothedtiger,0,
NA,crocodile,piranha,0,
NA,crocodile,penguin,0,
NA,crocodile,porcupine,0,
NA,crocodile,grizzlybear,0,
NA,crocodile,ferret,0,
NA,crocodile,koi,0,
NA,crocodile,jaguar,0,
NA,crocodile,tabby,0,
NA,crocodile,emu,0,
NA,crocodile,nightingale,0,
NA,crocodile,orca,0,
NA,crocodile,honeybadger,0,
NA,crocodile,lion,0,
NA,crocodile,seal,0,
NA,crocodile,puma,1,
NA,crocodile,woodchuck,0,
NA,crocodile,viper,0,
NA,crocodile,zebu,0,
NA,crocodile,newt,0,
NA,crocodile,manx,0,
NA,crocodile,wallaby,0,
NA,crocodile,swallow,0,
NA,crocodile,groundhog,0,
NA,crocodile,treefrog,0,
NA,crocodile,sloth,0,
NA,crocodile,sandshark,0,
NA,crocodile,gopher,0,
NA,crocodile,isopod,0,
NA,crocodile,weasel,0,
NA,crocodile,turkey,0,
NA,crocodile,reindeer,0,
NA,crocodile,yak,0,
NA,crocodile,marmot,0,
NA,crocodile,polarbear,0,
NA,crocodile,squirrel,0,
NA,crocodile,tiger,0,
NA,crocodile,wildcat,0,
NA,crocodile,gnu,0,
NA,crocodile,lizard,1,
NA,crocodile,robin,0,
NA,crocodile,moth,0,
NA,crocodile,squid,0,
NA,crocodile,rooster,0,
NA,crocodile,mockingbird,0,
NA,crocodile,warthog,0,
NA,crocodile,mouse,0,
NA,crocodile,killerwhale,0,
NA,crocodile,ewe,0,
NA,crocodile,moose,0,
NA,crocodile,snail,1,
NA,crocodile,leopard,0,
NA,crocodile,unicorn,0,
NA,crocodile,tuna,0,
NA,crocodile,hummingbird,1,
NA,crocodile,pitbull,0,
NA,crocodile,macaque,0,
NA,crocodile,wren,0,
NA,crocodile,flea,0,
NA,crocodile,ermine,0,
NA,crocodile,human,0,
NA,crocodile,mongoose,0,
NA,crocodile,jackal,0,
NA,crocodile,elk,0,
NA,crocodile,hat,0,
NA,crocodile,raven,0,
NA,crocodile,vulture,0,
NA,crocodile,manatee,0,
NA,crocodile,flamingo,1,
NA,crocodile,falcon,0,
NA,crocodile,tick,0,
NA,crocodile,marlin,0,
NA,crocodile,marmoset,0,
NA,crocodile,eel,0,
NA,crocodile,mosquito,0,
NA,crocodile,walrus,0,
NA,crocodile,firefly,0,
NA,crocodile,seacucumber,0,
NA,crocodile,lobster,0,
NA,crocodile,fox,0,
NA,crocodile,rattlesnake,0,
NA,crocodile,greatwhiteshark,0,
NA,crocodile,lark,0,
NA,crocodile,stingray,0,
NA,crocodile,trout,0,
NA,crocodile,slug,0,
NA,crocodile,raptor,0,
NA,crocodile,pika,0,
NA,crocodile,shrimp,0,
NA,crocodile,wolf,0,
NA,crocodile,ox,0,
NA,crocodile,octopus,0,
NA,crocodile,meerkat,0,
NA,crocodile,owl,0,
NA,crocodile,hammerheadshark,0,
NA,crocodile,millipede,0,
NA,crocodile,graywolf,0,
NA,crocodile,hen,0,
NA,crocodile,hare,0,
NA,crocodile,pufferfish,0,
NA,crocodile,serval,0,
NA,crocodile,toucan,0,
NA,crocodile,otter,1,
NA,crocodile,otwe,0,
NA,crocodile,lynx,0,
NA,crocodile,howlermonkey,0,
NA,crocodile,hornet,0,
NA,crocodile,pib,0,
NA,crocodile,deer,0,
NA,crocodile,pig,1,
NA,crocodile,gecko,0,
NA,crocodile,mole,0,
NA,crocodile,quail,0,
NA,crocodile,parakeet,0,
NA,crocodile,finch,0,
NA,crocodile,mockingjay,0,
NA,crocodile,puppy,0,
NA,crocodile,wombat,0,
NA,crocodile,phoenix,0,
NA,crocodile,toad,0,
NA,crocodile,drag,0,
NA,crocodile,fisher,0,
NA,crocodile,cuttlefish,0,
NA,crocodile,gorilla,0,
NA,prairiedog,spidermonkey,0,
NA,prairiedog,tasmaniandevil,0,
NA,prairiedog,swan,0,
NA,prairiedog,tyrannosaurusrex,0,
NA,prairiedog,scottishshetland,0,
NA,prairiedog,stinkbug,0,
NA,prairiedog,urangutan,0,
NA,prairiedog,quahog,0,
NA,prairiedog,wildebeest,0,
NA,prairiedog,tarantula,0,
NA,prairiedog,velociraptor,0,
NA,prairiedog,stallion,0,
NA,prairiedog,tortoise,0,
NA,prairiedog,raccoon,0,
NA,prairiedog,vole,0,
NA,prairiedog,weevil,0,
NA,prairiedog,rabbit,0,
NA,prairiedog,worm,0,
NA,prairiedog,seahorse,0,
NA,prairiedog,seagull,0,
NA,prairiedog,shark,0,
NA,prairiedog,spermwhale,0,
NA,prairiedog,woodpecker,0,
NA,prairiedog,rhinoceros,0,
NA,prairiedog,xerus,0,
NA,prairiedog,redfox,0,
NA,prairiedog,python,0,
NA,prairiedog,swordfish,0,
NA,prairiedog,salamander,0,
NA,prairiedog,snake,0,
NA,prairiedog,turtle,0,
NA,prairiedog,spider,0,
NA,prairiedog,whaleshark,0,
NA,prairiedog,zebra,0,
NA,prairiedog,wolverine,0,
NA,prairiedog,sealion,0,
NA,prairiedog,waterbear,0,
NA,prairiedog,shrew,0,
NA,prairiedog,sugarglider,0,
NA,prairiedog,redpanda,0,
NA,prairiedog,wasp,0,
NA,prairiedog,pteordactyl,0,
NA,prairiedog,whale,0,
NA,prairiedog,sheep,0,
NA,prairiedog,terrier,0,
NA,prairiedog,stork,0,
NA,prairiedog,starfish,0,
NA,prairiedog,steer,0,
NA,prairiedog,ram,0,
NA,prairiedog,rat,0,
NA,prairiedog,ray,0,
NA,prairiedog,tapir,0,
NA,prairiedog,salmon,0,
NA,prairiedog,sunbear,0,
NA,prairiedog,skunk,0,
NA,prairiedog,sparrow,0,
NA,prairiedog,scorpion,0,
NA,prairiedog,sabertoothedtiger,0,
NA,prairiedog,tabby,0,
NA,prairiedog,seal,0,
NA,prairiedog,puma,0,
NA,prairiedog,woodchuck,0,
NA,prairiedog,viper,0,
NA,prairiedog,zebu,0,
NA,prairiedog,wallaby,0,
NA,prairiedog,swallow,0,
NA,prairiedog,treefrog,0,
NA,prairiedog,sloth,0,
NA,prairiedog,sandshark,0,
NA,prairiedog,weasel,0,
NA,prairiedog,turkey,0,
NA,prairiedog,reindeer,1,
NA,prairiedog,yak,0,
NA,prairiedog,squirrel,0,
NA,prairiedog,tiger,0,
NA,prairiedog,wildcat,0,
NA,prairiedog,robin,0,
NA,prairiedog,squid,0,
NA,prairiedog,rooster,0,
NA,prairiedog,warthog,0,
NA,prairiedog,snail,0,
NA,prairiedog,unicorn,0,
NA,prairiedog,tuna,0,
NA,prairiedog,wren,0,
NA,prairiedog,raven,0,
NA,prairiedog,vulture,0,
NA,prairiedog,tick,0,
NA,prairiedog,walrus,0,
NA,prairiedog,seacucumber,0,
NA,prairiedog,rattlesnake,0,
NA,prairiedog,stingray,0,
NA,prairiedog,trout,0,
NA,prairiedog,slug,0,
