method,simnum,subjects,hit,miss,fa,cr,cost,startseed
goni,1,4,84,309,28,12299,337,
kenett,1,4,15,378,420,11907,798,
fe,1,4,12,381,0,12327,381,
rw,1,5,232,161,152,12175,313,
goni,1,5,109,284,36,12291,320,
kenett,1,5,20,373,427,11900,800,
fe,1,5,14,379,0,12327,379,
rw,1,6,261,132,186,12141,318,
goni,1,6,136,257,46,12281,303,
kenett,1,6,21,372,435,11892,807,
fe,1,6,17,376,0,12327,376,
rw,1,7,278,115,215,12112,330,
goni,1,7,162,231,53,12274,284,
kenett,1,7,17,376,445,11882,821,
fe,1,7,20,373,0,12327,373,
rw,1,8,298,95,252,12075,347,
goni,1,8,190,203,69,12258,272,
kenett,1,8,15,378,447,11880,825,
fe,1,8,23,370,0,12327,370,
rw,1,9,311,82,279,12048,361,
goni,1,9,200,193,70,12257,263,
kenett,1,9,177,216,297,12030,513,
fe,1,9,26,367,0,12327,367,
rw,1,10,322,71,298,12029,369,
goni,1,10,223,170,91,12236,261,
kenett,1,10,181,212,293,12034,505,
fe,1,10,29,364,0,12327,364,
rw,1,11,335,58,320,12007,378,
goni,1,11,233,160,95,12232,255,
kenett,1,11,188,205,286,12041,491,
fe,1,11,32,361,0,12327,361,
rw,1,12,344,49,343,11984,392,
goni,1,12,243,150,106,12221,256,
kenett,1,12,199,194,275,12052,469,
fe,1,12,35,358,0,12327,358,
rw,1,13,351,42,383,11944,425,
goni,1,13,265,128,121,12206,249,
kenett,1,13,205,188,269,12058,457,
fe,1,13,37,356,0,12327,356,
rw,1,14,361,32,413,11914,445,
goni,1,14,275,118,150,12177,268,
kenett,1,14,207,186,267,12060,453,
fe,1,14,40,353,0,12327,353,
rw,1,15,367,26,441,11886,467,
goni,1,15,286,107,147,12180,254,
kenett,1,15,215,178,259,12068,437,
fe,1,15,42,351,0,12327,351,
rw,1,16,372,21,470,11857,491,
goni,1,16,295,98,162,12165,260,
kenett,1,16,224,169,250,12077,419,
fe,1,16,45,348,0,12327,348,
rw,1,17,375,18,491,11836,509,
goni,1,17,306,87,178,12149,265,
kenett,1,17,224,169,250,12077,419,
fe,1,17,48,345,0,12327,345,
rw,1,18,377,16,512,11815,528,
goni,1,18,305,88,181,12146,269,
kenett,1,18,231,162,243,12084,405,
fe,1,18,50,343,0,12327,343,
rw,1,19,380,13,535,11792,548,
goni,1,19,311,82,188,12139,270,
kenett,1,19,229,164,245,12082,409,
fe,1,19,52,341,0,12327,341,
rw,1,20,380,13,556,11771,569,
goni,1,20,322,71,196,12131,267,
kenett,1,20,237,156,237,12090,393,
fe,1,20,55,338,0,12327,338,
rw,1,21,381,12,574,11753,586,
goni,1,21,324,69,205,12122,274,
kenett,1,21,247,146,227,12100,373,
fe,1,21,58,335,0,12327,335,
rw,1,22,383,10,593,11734,603,
goni,1,22,324,69,206,12121,275,
kenett,1,22,246,147,228,12099,375,
fe,1,22,61,332,0,12327,332,
rw,1,23,383,10,616,11711,626,
goni,1,23,330,63,223,12104,286,
kenett,1,23,243,150,231,12096,381,
fe,1,23,63,330,0,12327,330,
rw,1,24,384,9,633,11694,642,
goni,1,24,334,59,229,12098,288,
kenett,1,24,240,153,234,12093,387,
fe,1,24,65,328,0,12327,328,
rw,1,25,384,9,656,11671,665,
goni,1,25,334,59,237,12090,296,
kenett,1,25,240,153,234,12093,387,
fe,1,25,67,326,0,12327,326,
rw,1,26,385,8,677,11650,685,
goni,1,26,339,54,253,12074,307,
kenett,1,26,247,146,227,12100,373,
fe,1,26,69,324,0,12327,324,
rw,1,27,386,7,697,11630,704,
goni,1,27,347,46,256,12071,302,
kenett,1,27,246,147,228,12099,375,
fe,1,27,72,321,0,12327,321,
rw,1,28,387,6,724,11603,730,
goni,1,28,353,40,269,12058,309,
kenett,1,28,252,141,222,12105,363,
fe,1,28,74,319,0,12327,319,
rw,1,29,388,5,748,11579,753,
goni,1,29,354,39,286,12041,325,
kenett,1,29,257,136,217,12110,353,
fe,1,29,76,317,0,12327,317,
rw,1,30,388,5,770,11557,775,
goni,1,30,358,35,292,12035,327,
kenett,1,30,261,132,213,12114,345,
fe,1,30,76,317,0,12327,317,
rw,1,31,388,5,790,11537,795,
goni,1,31,360,33,300,12027,333,
kenett,1,31,261,132,213,12114,345,
fe,1,31,78,315,0,12327,315,
rw,1,32,389,4,809,11518,813,
goni,1,32,362,31,297,12030,328,
kenett,1,32,257,136,217,12110,353,
fe,1,32,81,312,0,12327,312,
rw,1,33,389,4,829,11498,833,
goni,1,33,364,29,302,12025,331,
kenett,1,33,265,128,209,12118,337,
fe,1,33,82,311,0,12327,311,
rw,1,34,389,4,847,11480,851,
goni,1,34,366,27,306,12021,333,
kenett,1,34,265,128,209,12118,337,
fe,1,34,84,309,0,12327,309,
rw,1,35,389,4,869,11458,873,
goni,1,35,365,28,314,12013,342,
kenett,1,35,257,136,217,12110,353,
fe,1,35,87,306,0,12327,306,
rw,1,36,389,4,891,11436,895,
goni,1,36,367,26,321,12006,347,
kenett,1,36,260,133,214,12113,347,
fe,1,36,90,303,0,12327,303,
rw,1,37,389,4,910,11417,914,
goni,1,37,368,25,329,11998,354,
kenett,1,37,256,137,218,12109,355,
fe,1,37,93,300,0,12327,300,
rw,1,38,389,4,925,11402,929,
goni,1,38,370,23,335,11992,358,
kenett,1,38,254,139,220,12107,359,
fe,1,38,95,298,0,12327,298,
rw,1,39,389,4,940,11387,944,
goni,1,39,371,22,344,11983,366,
kenett,1,39,254,139,220,12107,359,
fe,1,39,98,295,0,12327,295,
rw,1,40,389,4,954,11373,958,
goni,1,40,373,20,346,11981,366,
kenett,1,40,257,136,217,12110,353,
fe,1,40,99,294,0,12327,294,
rw,1,41,389,4,976,11351,980,
goni,1,41,373,20,345,11982,365,
kenett,1,41,259,134,215,12112,349,
fe,1,41,101,292,0,12327,292,
rw,1,42,389,4,1002,11325,1006,
goni,1,42,375,18,364,11963,382,
kenett,1,42,263,130,211,12116,341,
fe,1,42,102,291,0,12327,291,
rw,1,43,389,4,1024,11303,1028,
goni,1,43,376,17,368,11959,385,
kenett,1,43,275,118,199,12128,317,
fe,1,43,105,288,0,12327,288,
rw,1,44,389,4,1036,11291,1040,
goni,1,44,378,15,372,11955,387,
kenett,1,44,269,124,205,12122,329,
fe,1,44,107,286,0,12327,286,
rw,1,45,390,3,1054,11273,1057,
goni,1,45,377,16,379,11948,395,
kenett,1,45,272,121,202,12125,323,
fe,1,45,109,284,0,12327,284,
rw,1,46,390,3,1070,11257,1073,
goni,1,46,375,18,392,11935,410,
kenett,1,46,278,115,196,12131,311,
fe,1,46,112,281,0,12327,281,
rw,1,47,390,3,1085,11242,1088,
goni,1,47,375,18,405,11922,423,
kenett,1,47,275,118,199,12128,317,
fe,1,47,115,278,0,12327,278,
rw,1,48,391,2,1100,11227,1102,
goni,1,48,376,17,412,11915,429,
kenett,1,48,274,119,200,12127,319,
fe,1,48,117,276,0,12327,276,
rw,1,49,391,2,1119,11208,1121,
goni,1,49,377,16,421,11906,437,
kenett,1,49,272,121,202,12125,323,
fe,1,49,119,274,0,12327,274,
rw,1,50,391,2,1138,11189,1140,
goni,1,50,376,17,420,11907,437,
kenett,1,50,276,117,198,12129,315,
fe,1,50,120,273,0,12327,273,
rw,2,1,71,322,29,12298,351,
goni,2,1,4,389,0,12327,389,
kenett,2,1,9,384,228,12099,612,
fe,2,1,3,390,0,12327,390,
rw,2,2,134,259,47,12280,306,
goni,2,2,34,359,7,12320,366,
kenett,2,2,18,375,321,12006,696,
fe,2,2,6,387,0,12327,387,
rw,2,3,184,209,73,12254,282,
goni,2,3,64,329,17,12310,346,
kenett,2,3,20,373,373,11954,746,
fe,2,3,9,384,0,12327,384,
rw,2,4,222,171,109,12218,280,
goni,2,4,91,302,19,12308,321,
kenett,2,4,20,373,421,11906,794,
fe,2,4,12,381,0,12327,381,
rw,2,5,244,149,138,12189,287,
goni,2,5,117,276,34,12293,310,
kenett,2,5,15,378,441,11886,819,
fe,2,5,14,379,0,12327,379,
rw,2,6,264,129,172,12155,301,
goni,2,6,142,251,45,12282,296,
kenett,2,6,29,364,430,11897,794,
fe,2,6,17,376,0,12327,376,
rw,2,7,280,113,201,12126,314,
goni,2,7,172,221,58,12269,279,
kenett,2,7,21,372,438,11889,810,
fe,2,7,20,373,0,12327,373,
rw,2,8,303,90,236,12091,326,
goni,2,8,195,198,76,12251,274,
kenett,2,8,21,372,441,11886,813,
fe,2,8,23,370,0,12327,370,
rw,2,9,323,70,264,12063,334,
goni,2,9,213,180,82,12245,262,
kenett,2,9,16,377,449,11878,826,
fe,2,9,25,368,0,12327,368,
rw,2,10,328,65,297,12030,362,
goni,2,10,237,156,89,12238,245,
kenett,2,10,12,381,453,11874,834,
fe,2,10,27,366,0,12327,366,
rw,2,11,335,58,324,12003,382,
goni,2,11,248,145,95,12232,240,
kenett,2,11,17,376,448,11879,824,
fe,2,11,29,364,0,12327,364,
rw,2,12,343,50,346,11981,396,
goni,2,12,259,134,118,12209,252,
kenett,2,12,28,365,443,11884,808,
fe,2,12,32,361,0,12327,361,
rw,2,13,354,39,370,11957,409,
goni,2,13,269,124,141,12186,265,
kenett,2,13,31,362,440,11887,802,
fe,2,13,35,358,0,12327,358,
rw,2,14,357,36,396,11931,432,
goni,2,14,281,112,156,12171,268,
kenett,2,14,29,364,442,11885,806,
fe,2,14,38,355,0,12327,355,
rw,2,15,367,26,416,11911,442,
goni,2,15,293,100,169,12158,269,
kenett,2,15,32,361,439,11888,800,
fe,2,15,40,353,0,12327,353,
rw,2,16,368,25,444,11883,469,
goni,2,16,303,90,172,12155,262,
kenett,2,16,31,362,440,11887,802,
fe,2,16,42,351,0,12327,351,
rw,2,17,376,17,470,11857,487,
goni,2,17,307,86,183,12144,269,
kenett,2,17,33,360,438,11889,798,
fe,2,17,45,348,0,12327,348,
rw,2,18,379,14,497,11830,511,
goni,2,18,321,72,193,12134,265,
kenett,2,18,27,366,444,11883,810,
fe,2,18,47,346,0,12327,346,
rw,2,19,381,12,522,11805,534,
goni,2,19,325,68,204,12123,272,
kenett,2,19,40,353,431,11896,784,
fe,2,19,50,343,0,12327,343,
rw,2,20,382,11,556,11771,567,
goni,2,20,325,68,204,12123,272,
kenett,2,20,228,165,246,12081,411,
fe,2,20,52,341,0,12327,341,
rw,2,21,384,9,578,11749,587,
goni,2,21,331,62,216,12111,278,
kenett,2,21,232,161,242,12085,403,
fe,2,21,55,338,0,12327,338,
rw,2,22,387,6,605,11722,611,
goni,2,22,331,62,217,12110,279,
kenett,2,22,239,154,235,12092,389,
fe,2,22,57,336,0,12327,336,
rw,2,23,389,4,620,11707,624,
goni,2,23,338,55,232,12095,287,
kenett,2,23,241,152,233,12094,385,
fe,2,23,58,335,0,12327,335,
rw,2,24,389,4,637,11690,641,
goni,2,24,343,50,238,12089,288,
kenett,2,24,235,158,239,12088,397,
fe,2,24,61,332,0,12327,332,
rw,2,25,389,4,665,11662,669,
goni,2,25,344,49,239,12088,288,
kenett,2,25,244,149,230,12097,379,
fe,2,25,64,329,0,12327,329,
rw,2,26,389,4,687,11640,691,
goni,2,26,348,45,256,12071,301,
kenett,2,26,250,143,224,12103,367,
fe,2,26,65,328,0,12327,328,
rw,2,27,389,4,703,11624,707,
goni,2,27,352,41,261,12066,302,
kenett,2,27,246,147,228,12099,375,
fe,2,27,67,326,0,12327,326,
rw,2,28,390,3,720,11607,723,
goni,2,28,352,41,266,12061,307,
kenett,2,28,259,134,215,12112,349,
fe,2,28,70,323,0,12327,323,
rw,2,29,392,1,748,11579,749,
goni,2,29,352,41,276,12051,317,
kenett,2,29,248,145,226,12101,371,
fe,2,29,72,321,0,12327,321,
rw,2,30,392,1,761,11566,762,
goni,2,30,354,39,284,12043,323,
kenett,2,30,250,143,224,12103,367,
fe,2,30,75,318,0,12327,318,
rw,2,31,392,1,780,11547,781,
goni,2,31,358,35,290,12037,325,
kenett,2,31,263,130,211,12116,341,
fe,2,31,78,315,0,12327,315,
rw,2,32,392,1,799,11528,800,
goni,2,32,363,30,306,12021,336,
kenett,2,32,260,133,214,12113,347,
fe,2,32,81,312,0,12327,312,
rw,2,33,392,1,821,11506,822,
goni,2,33,364,29,302,12025,331,
kenett,2,33,269,124,205,12122,329,
fe,2,33,84,309,0,12327,309,
rw,2,34,392,1,843,11484,844,
goni,2,34,367,26,311,12016,337,
kenett,2,34,260,133,214,12113,347,
fe,2,34,87,306,0,12327,306,
rw,2,35,392,1,864,11463,865,
goni,2,35,366,27,316,12011,343,
kenett,2,35,267,126,207,12120,333,
fe,2,35,90,303,0,12327,303,
rw,2,36,392,1,885,11442,886,
goni,2,36,365,28,325,12002,353,
kenett,2,36,267,126,207,12120,333,
fe,2,36,92,301,0,12327,301,
rw,2,37,392,1,909,11418,910,
goni,2,37,367,26,337,11990,363,
kenett,2,37,271,122,203,12124,325,
fe,2,37,95,298,0,12327,298,
rw,2,38,392,1,931,11396,932,
goni,2,38,370,23,344,11983,367,
kenett,2,38,270,123,204,12123,327,
fe,2,38,97,296,0,12327,296,
rw,2,39,392,1,949,11378,950,
goni,2,39,368,25,357,11970,382,
kenett,2,39,270,123,204,12123,327,
fe,2,39,99,294,0,12327,294,
rw,2,40,392,1,965,11362,966,
goni,2,40,371,22,374,11953,396,
kenett,2,40,271,122,203,12124,325,
fe,2,40,101,292,0,12327,292,
rw,2,41,392,1,975,11352,976,
goni,2,41,373,20,380,11947,400,
kenett,2,41,270,123,204,12123,327,
fe,2,41,104,289,0,12327,289,
rw,2,42,392,1,989,11338,990,
goni,2,42,373,20,389,11938,409,
kenett,2,42,278,115,196,12131,311,
fe,2,42,106,287,0,12327,287,
rw,2,43,392,1,1008,11319,1009,
goni,2,43,375,18,397,11930,415,
kenett,2,43,277,116,197,12130,313,
fe,2,43,108,285,0,12327,285,
rw,2,44,392,1,1029,11298,1030,
goni,2,44,375,18,399,11928,417,
kenett,2,44,278,115,196,12131,311,
fe,2,44,111,282,0,12327,282,
rw,2,45,392,1,1047,11280,1048,
goni,2,45,377,16,401,11926,417,
kenett,2,45,274,119,200,12127,319,
fe,2,45,113,280,0,12327,280,
rw,2,46,392,1,1060,11267,1061,
goni,2,46,377,16,400,11927,416,
kenett,2,46,270,123,204,12123,327,
fe,2,46,114,279,0,12327,279,
rw,2,47,393,0,1082,11245,1082,
goni,2,47,378,15,407,11920,422,
kenett,2,47,281,112,193,12134,305,
fe,2,47,116,277,0,12327,277,
rw,2,48,393,0,1103,11224,1103,
goni,2,48,378,15,409,11918,424,
kenett,2,48,282,111,192,12135,303,
fe,2,48,117,276,0,12327,276,
rw,2,49,393,0,1123,11204,1123,
goni,2,49,378,15,416,11911,431,
kenett,2,49,279,114,195,12132,309,
fe,2,49,120,273,0,12327,273,
rw,2,50,393,0,1141,11186,1141,
goni,2,50,377,16,429,11898,445,
kenett,2,50,289,104,185,12142,289,
fe,2,50,123,270,0,12327,270,
rw,3,1,63,330,33,12294,363,
goni,3,1,9,384,5,12322,389,
kenett,3,1,7,386,200,12127,586,
fe,3,1,3,390,0,12327,390,
rw,3,2,120,273,64,12263,337,
goni,3,2,34,359,13,12314,372,
kenett,3,2,15,378,318,12009,696,
fe,3,2,6,387,0,12327,387,
rw,3,3,173,220,90,12237,310,
goni,3,3,65,328,22,12305,350,
kenett,3,3,14,379,379,11948,758,
fe,3,3,9,384,0,12327,384,
rw,3,4,214,179,113,12214,292,
goni,3,4,101,292,29,12298,321,
kenett,3,4,16,377,413,11914,790,
fe,3,4,11,382,0,12327,382,
rw,3,5,235,158,151,12176,309,
goni,3,5,124,269,42,12285,311,
kenett,3,5,18,375,426,11901,801,
fe,3,5,14,379,0,12327,379,
rw,3,6,262,131,177,12150,308,
goni,3,6,155,238,49,12278,287,
kenett,3,6,17,376,436,11891,812,
fe,3,6,16,377,0,12327,377,
rw,3,7,285,108,212,12115,320,
goni,3,7,173,220,61,12266,281,
kenett,3,7,23,370,442,11885,812,
fe,3,7,19,374,0,12327,374,
rw,3,8,301,92,236,12091,328,
goni,3,8,186,207,72,12255,279,
kenett,3,8,24,369,441,11886,810,
fe,3,8,22,371,0,12327,371,
rw,3,9,313,80,264,12063,344,
goni,3,9,207,186,82,12245,268,
kenett,3,9,23,370,442,11885,812,
fe,3,9,25,368,0,12327,368,
rw,3,10,325,68,293,12034,361,
goni,3,10,222,171,98,12229,269,
kenett,3,10,40,353,431,11896,784,
fe,3,10,27,366,0,12327,366,
rw,3,11,331,62,326,12001,388,
goni,3,11,228,165,106,12221,271,
kenett,3,11,40,353,431,11896,784,
fe,3,11,30,363,0,12327,363,
rw,3,12,342,51,349,11978,400,
goni,3,12,239,154,123,12204,277,
kenett,3,12,37,356,434,11893,790,
fe,3,12,32,361,0,12327,361,
rw,3,13,349,44,375,11952,419,
goni,3,13,252,141,134,12193,275,
kenett,3,13,35,358,436,11891,794,
fe,3,13,35,358,0,12327,358,
rw,3,14,355,38,401,11926,439,
goni,3,14,272,121,146,12181,267,
kenett,3,14,193,200,281,12046,481,
fe,3,14,38,355,0,12327,355,
rw,3,15,360,33,430,11897,463,
goni,3,15,283,110,149,12178,259,
kenett,3,15,193,200,281,12046,481,
fe,3,15,41,352,0,12327,352,
rw,3,16,368,25,454,11873,479,
goni,3,16,297,96,165,12162,261,
kenett,3,16,206,187,268,12059,455,
fe,3,16,44,349,0,12327,349,
rw,3,17,373,20,475,11852,495,
goni,3,17,311,82,181,12146,263,
kenett,3,17,210,183,264,12063,447,
fe,3,17,47,346,0,12327,346,
rw,3,18,378,15,499,11828,514,
goni,3,18,313,80,183,12144,263,
kenett,3,18,213,180,261,12066,441,
fe,3,18,50,343,0,12327,343,
rw,3,19,379,14,526,11801,540,
goni,3,19,316,77,192,12135,269,
kenett,3,19,217,176,257,12070,433,
fe,3,19,52,341,0,12327,341,
rw,3,20,380,13,552,11775,565,
goni,3,20,320,73,199,12128,272,
kenett,3,20,230,163,244,12083,407,
fe,3,20,55,338,0,12327,338,
rw,3,21,384,9,570,11757,579,
goni,3,21,325,68,210,12117,278,
kenett,3,21,232,161,242,12085,403,
fe,3,21,57,336,0,12327,336,
rw,3,22,385,8,598,11729,606,
goni,3,22,332,61,212,12115,273,
kenett,3,22,235,158,239,12088,397,
fe,3,22,58,335,0,12327,335,
rw,3,23,386,7,624,11703,631,
goni,3,23,334,59,222,12105,281,
kenett,3,23,234,159,240,12087,399,
fe,3,23,60,333,0,12327,333,
rw,3,24,386,7,649,11678,656,
goni,3,24,334,59,238,12089,297,
kenett,3,24,232,161,242,12085,403,
fe,3,24,63,330,0,12327,330,
rw,3,25,387,6,663,11664,669,
goni,3,25,336,57,244,12083,301,
kenett,3,25,238,155,236,12091,391,
fe,3,25,65,328,0,12327,328,
rw,3,26,387,6,680,11647,686,
goni,3,26,340,53,257,12070,310,
kenett,3,26,245,148,229,12098,377,
fe,3,26,67,326,0,12327,326,
rw,3,27,388,5,704,11623,709,
goni,3,27,347,46,266,12061,312,
kenett,3,27,239,154,235,12092,389,
fe,3,27,70,323,0,12327,323,
rw,3,28,388,5,722,11605,727,
goni,3,28,347,46,272,12055,318,
kenett,3,28,243,150,231,12096,381,
fe,3,28,72,321,0,12327,321,
rw,3,29,388,5,746,11581,751,
goni,3,29,349,44,275,12052,319,
kenett,3,29,240,153,234,12093,387,
fe,3,29,75,318,0,12327,318,
rw,3,30,389,4,762,11565,766,
goni,3,30,351,42,286,12041,328,
kenett,3,30,251,142,223,12104,365,
fe,3,30,76,317,0,12327,317,
rw,3,31,389,4,788,11539,792,
