word,freq
aerospace,1.08
aesthete,0.12
aesthetic,0.67
aesthetics,0.29
afar,1.16
afeard,0.22
affability,0.08
affable,0.12
affair,29.45
affaire,0.02
affect,11.14
affectation,0.14
affection,8.45
affectionate,2.25
affective,0.08
affectless,0.02
affiant,0.02
affidavit,1.96
affiliate,0.29
affiliation,0.49
affinity,0.57
affirm,0.33
affirmation,0.53
affirmative,4.73
affix,0.12
afflict,0.08
affliction,1.18
afflictive,0.02
affluence,0.14
affluent,0.29
afford,44.43
affordability,0.02
affordable,0.65
affray,#N/A
affright,0.04
affront,0.59
afghan,0.57
aficionado,0.22
afire,0.49
aflame,0.33
afloat,1.67
afoot,1.02
aforementioned,0.47
aforesaid,0.08
aforethought,0.06
afoul,0.22
afraid,247.67
afro,1.12
aft,3.53
after,682.59
afterbirth,0.1
afterburner,0.04
aftercare,0.1
afterdeck,0.04
aftereffect,0.06
afterglow,0.31
afterimage,0.04
afterlife,1.59
aftermarket,0.04
aftermath,1.04
afternoon,91.49
afterschool,0.1
aftershave,1.08
aftershock,0.24
aftertaste,0.22
afterthought,0.25
afterwards,14
afterworld,0.02
again,792.71
against,201.73
agate,0.04
agave,0.04
age,79.2
ageism,0.24
ageist,0.08
ageless,0.29
agency,19.43
agenda,7.31
agent,102.65
ageratum,0.02
agglomerate,#N/A
agglutinate,0.02
aggrandize,0.02
aggrandizement,0.02
aggravate,0.73
aggravated,1.25
aggravation,1.16
aggregate,0.2
aggregation,0.04
aggress,0.04
aggression,2.8
aggressive,7.94
aggressiveness,0.39
aggressor,0.57
aggrieved,0.2
aghast,0.14
agile,0.39
agility,0.45
aging,2.57
agitate,0.43
agitated,2.51
agitation,0.49
agitator,0.22
agitprop,0.02
agleam,#N/A
aglitter,#N/A
aglow,0.47
agnate,0.1
agnostic,0.37
ago,286.12
agog,0.12
agonist,0.02
agonize,0.1
agonizing,0.71
agony,3.75
agora,0.02
agoraphobia,0.14
agoraphobic,0.18
agrarian,0.16
agree,64.67
agreeable,1.59
agreement,17.49
agribusiness,0.14
agricultural,0.94
agriculturalist,0.04
agriculture,1.1
ague,0.04
ahead,198.33
ahoy,3.71
aid,13.9
aide,2.02
aider,0.02
aids,1.06
aigrette,#N/A
aikido,0.08
ail,0.22
aileron,0.02
ailing,0.51
ailment,0.51
aim,14.86
aimer,0.06
aimless,0.27
air,139.02
airbag,0.39
airbase,0.1
airboat,0.08
airborne,4.22
airbrush,0.18
aircraft,9.45
aircraftsman,0.02
aircrew,0.06
airdrome,0.04
airdrop,0.04
airfare,0.24
airfield,2.31
airflow,0.14
airfoil,0.02
airforce,#N/A
airhead,0.53
airiness,0.02
airless,0.1
airlift,0.27
airline,6.49
airliner,0.57
airlock,0.82
airmail,0.33
airman,0.59
airmattress,#N/A
airmobile,0.02
airplane,10.92
airplay,0.22
airport,38.04
airship,0.59
airsick,0.31
airsickness,0.04
airspace,1.61
airspeed,0.47
airstream,0.16
airstrike,0.14
airstrip,1.12
airtight,1.12
airtime,0.25
airwave,0.02
airway,1.63
airworthy,0.02
airy,0.31
aisle,7.43
ajar,0.45
aka,1.02
akimbo,0.08
akin,0.27
alabaster,0.67
alacrity,0.1
alarm,29.84
alarmclock,#N/A
alarming,1.14
alarmist,0.33
alarum,0.06
alas,3.82
albacore,0.16
albatross,0.78
albinism,0.04
albino,1.16
album,10.24
albumen,#N/A
albumin,0.08
alcalde,0.27
alchemical,0.12
alchemist,0.27
alchemy,0.22
alcohol,16.57
alcoholic,6.2
alcoholism,0.84
alcove,0.47
alder,0.1
alderman,0.8
ale,3.96
alehouse,0.02
aleph,0.12
alert,20.61
alertness,0.08
alexandrine,0.14
alfalfa,0.65
alfresco,0.14
alga,#N/A
algebra,1.76
algebraic,0.06
alginate,0.04
algorithm,0.53
algorithmic,0.2
alias,4.08
alibi,8.35
alien,17.43
alienate,0.57
alienation,0.43
alienist,0.16
aliens,9.63
alight,0.41
align,0.67
alignment,1.31
alike,11.35
alimentary,0.08
alimony,2.59
alit,0.04
alive,154.47
alkali,0.35
alkaline,0.31
alkaloid,0.16
alky,0.41
alkyd,0.02
all,5161.86
allay,0.33
allegation,0.53
allege,0.22
alleged,3.98
allegiance,3.12
allegiant,0.04
allegorical,0.16
allegory,0.24
allegro,0.51
allele,0.04
allergen,0.06
allergic,8.1
allergist,0.04
allergy,1.69
alleviate,0.45
alley,16.29
alleyway,0.78
alliance,9.12
allied,2.88
alligator,3.49
alliteration,0.18
alliterative,0.02
allocate,0.16
allocation,0.2
allocution,0.04
allograft,0.06
allot,0.16
allotment,0.37
allow,44.37
allowable,0.1
allowance,5.2
alloy,1.02
allude,0.2
allure,0.59
alluring,0.41
allusion,0.12
alluvial,0.02
ally,32.67
almanac,0.84
almandine,0.04
almightiness,0.04
almighty,8.75
almond,1.1
almoner,#N/A
almost,193.27
alms,0.49
almshouse,0.04
aloe,0.29
aloft,0.73
aloha,2.92
alone,308.53
aloneness,0.02
along,182.94
alongshore,#N/A
aloof,0.65
alopecia,0.14
aloud,1.84
alp,0.12
alpaca,0.2
alpha,8.12
alphabet,2.49
alphabetical,0.86
alphabetize,0.1
alphanumeric,0.1
alphorn,#N/A
alpine,1.27
alright,79.29
also,206.43
altar,5.08
altarpiece,0.04
alter,4.78
alteration,0.71
altercation,0.73
alternate,3.53
alternating,0.41
alternation,0.04
alternative,9.33
alternator,0.35
although,42.02
altimeter,0.45
altitude,3.88
alto,1.35
altogether,6.41
altruism,0.22
altruist,0.02
altruistic,0.35
alum,0.14
alumina,#N/A
aluminum,2.25
alumna,0.02
alumnus,0.47
alveolar,0.08
alveolus,0.02
always,655.25
amah,0.02
amalgam,0.18
amalgamated,0.12
amalgamation,0.12
amandine,0.04
amanita,0.02
amanuensis,0.04
amaranth,0.04
amaretto,0.43
amaryllis,0.1
amass,0.06
amassment,0.02
amateur,6.55
amateurish,0.37
amateurism,0.02
amaze,1.61
amazed,5.12
amazement,0.71
amazing,81.71
ambassador,13.51
ambassadorial,0.04
ambassadorship,0.06
amber,9.27
ambergris,0.2
ambiance,0.16
ambidextrous,0.24
ambience,0.73
ambient,0.51
ambiguity,0.27
ambiguous,0.73
ambition,5.35
ambitious,4.76
ambivalence,0.24
ambivalent,0.24
amble,0.1
ambrosia,0.96
ambrosial,0.02
ambulance,22.41
ambulation,0.02
ambulatory,0.24
ambuscade,#N/A
ambush,5.43
ameliorate,0.04
amelioration,0.02
amen,25.98
amenable,0.18
amend,0.75
amendment,4.1
amends,1.84
americanize,0.02
amethyst,0.12
amiability,0.02
amiable,0.59
amicable,0.25
amice,0.02
amicus,0.02
amid,0.88
amidst,0.69
amino,0.61
amiss,0.75
amity,0.53
ammeter,0.02
ammo,5.37
ammonia,1.49
ammonium,0.51
ammunition,5.88
amnesia,3.71
amnesiac,0.04
amnesic,0.04
amnesty,1.33
amniocentesis,0.06
amniotic,0.27
amoeba,0.31
amoebic,0.06
among,33.9
amongst,7.14
amontillado,0.06
amoral,0.2
amorality,0.04
amorous,0.92
amorphous,0.14
amortization,0.14
amortize,0.08
amount,24.75
amour,1.86
amp,1.82
amperage,0.1
ampersand,0.06
amphetamine,0.29
amphibian,0.39
amphibious,0.59
amphitheater,0.1
amphora,0.02
ample,1.82
amplification,0.16
amplifier,0.31
amplify,0.37
amplitude,0.12
amputate,0.86
amputation,0.84
amputee,0.2
amuck,0.51
amulet,2.31
amuse,2.61
amused,2.51
amusement,3.75
amusing,9.2
amyl,0.22
amylase,0.16
anabolic,0.16
anachronism,0.1
anachronistic,0.06
anaconda,0.47
anaerobic,0.08
anaesthetize,0.02
anagogic,0.02
anagram,0.51
anal,2.71
analeptic,0.02
analgesia,0.06
analgesic,0.1
analog,0.24
analogous,0.08
analogue,0.1
analogy,1.14
analysis,11.04
analyst,3.47
analytic,0.08
analytical,0.59
analyzable,0.02
analyze,3.24
analyzer,0.51
anapestic,#N/A
anaphylactic,0.53
anaphylaxis,0.06
anarchic,0.04
anarchism,0.04
anarchist,0.57
anarchistic,0.02
anarchy,2.02
anathema,0.18
anatomic,0.08
anatomical,0.31
anatomist,0.06
anatomize,0.04
anatomy,3.2
ancestor,1.69
ancestors,5.47
ancestral,0.57
ancestry,0.47
anchor,7.41
anchorage,0.71
anchorite,#N/A
anchorman,0.35
anchorwoman,0.27
anchovy,0.14
ancient,21.67
ancillary,0.22
and,13387.84
andiron,0.06
androgynous,0.12
androgyny,0.02
android,0.88
anecdotal,0.37
anecdote,1.08
anemia,0.69
anemic,0.63
anemone,0.25
anent,#N/A
aneroid,0.12
anesthesia,1.98
anesthesiologist,0.53
anesthetic,1.33
anesthetist,0.12
anesthetize,0.27
aneurism,0.12
aneurysm,1.98
anew,0.86
angel,78.27
angelfish,0.1
angelic,0.57
angelical,0.02
anger,19.43
angina,0.9
angiogram,0.39
angiography,0.06
angioplasty,0.31
angle,14.92
angler,0.37
angleworm,0.02
anglophile,0.14
angora,0.41
angry,58.98
angst,0.92
anguish,2.16
anguished,0.25
angular,0.14
anhydride,0.02
aniline,0.12
animal,45.49
animalistic,0.1
animate,0.06
animated,1.2
animation,1.22
animator,0.04
anime,0.12
animosity,0.61
animus,0.1
anion,0.02
anise,0.06
anisette,0.04
ankh,0.33
ankle,8.02
anklebone,0.02
anklet,0.41
annals,0.65
annatto,0.02
annex,0.84
annexation,0.14
annihilate,0.71
annihilation,0.8
anniversary,18.41
annotate,0.06
annotator,#N/A
announce,9.76
announcement,10.29
announcer,11.25
annoy,2.51
annoyance,0.49
annoyed,3.43
annoyer,0.02
annoying,11.12
annual,7.2
annuity,0.35
annul,0.51
annular,0.02
annulment,1.49
annunciation,0.02
anode,0.16
anodic,#N/A
anodized,0.06
anodyne,0.02
anoint,0.2
anointed,0.75
anomalous,0.33
anomaly,1.24
anonymity,0.9
anonymous,8.41
anorectic,0.04
anorexia,0.25
anorexic,0.57
anosmatic,0.02
another,509.22
anoxia,0.12
answer,176.2
answerable,0.18
ant,5.35
antacid,0.31
antagonism,0.22
antagonist,0.25
antagonistic,0.43
antagonize,0.53
ante,2.18
anteater,0.22
antebellum,0.1
antecedent,0.06
antechamber,0.08
antediluvian,0.08
antelope,0.98
antenatal,0.04
antenna,2.39
anterior,0.94
anteroom,0.16
anthem,1.88
anther,0.04
anthill,0.57
anthology,0.27
anthracite,0.06
anthrax,1.29
anthropoid,0.06
anthropological,0.51
anthropologist,1.04
anthropology,1.31
anti,0.51
antiaircraft,0.49
antibacterial,0.33
antibiotic,0.65
antibiotics,3.67
antibody,0.25
antic,0.08
antichrist,0.96
anticipate,2.53
anticipation,2.49
anticipatory,0.12
anticlimactic,0.2
anticlimax,0.08
anticline,0.02
anticoagulant,0.06
anticoagulation,0.04
anticommunism,0.02
anticommunist,0.02
anticorrosive,0.02
antics,0.98
antidemocratic,0.02
antidepressant,0.35
antidotal,0.02
antidote,4.33
antiestablishment,0.06
antifascist,0.02
antifeminist,0.04
antifreeze,0.31
antifungal,0.02
antigen,0.37
antigovernment,0.08
antigravity,0.55
antigun,0.02
antihistamine,0.24
antihuman,0.02
antimatter,0.2
antimilitary,0.02
antimissile,0.04
antimony,0.02
antinuclear,0.02
antioxidant,0.02
antipasto,0.16
antipathy,0.08
antipersonnel,0.1
antiperspirant,0.14
antiphonal,#N/A
antipsychotic,0.12
antiquarian,0.04
antiquated,0.55
antique,6.06
antiques,2.69
antiquity,0.27
antiseptic,0.86
antiseptics,0.06
antiserum,0.18
antislavery,0.02
antisocial,0.8
antispasmodic,0.02
antitank,0.1
antithesis,0.31
antithetical,0.04
antitoxin,0.35
antitrust,0.24
antivenin,0.06
antiviral,0.02
antivirus,0.02
antivivisection,0.04
antivivisectionist,0.02
antiwar,0.31
antler,0.29
antsy,0.63
anus,1.1
anvil,0.63
anxiety,6.76
anxious,14.1
any,1099.37
anybody,226.92
anyhow,15.16
anyone,255.25
anything,907.25
anytime,24.47
anyway,238.51
aorta,1.53
aortal,0.02
aortic,0.47
apache,4.92
apart,47.02
apartheid,0.37
apartment,83.04
apartments,4.22
apartness,0.02
apathetic,0.35
apathy,0.47
apatite,0.04
ape,9.67
apelike,0.04
aperitif,0.37
aperture,0.27
apex,0.84
aphasia,0.18
aphasic,0.06
aphid,0.08
aphis,0.06
aphorism,0.02
aphrodisiac,1.61
apiary,0.04
apish,0.02
aplenty,0.22
aplomb,0.16
apnea,0.16
apocalypse,2.47
apogee,0.08
apolitical,0.12
apollonian,0.02
apologetic,0.43
apologia,0.04
apologist,0.02
apologize,49.37
apology,15.76
apoplectic,0.16
apoplexy,0.18
apostate,0.06
apostle,1.39
apostolate,0.02
apostrophe,0.24
apothecary,0.39
apothegm,#N/A
apotheosis,0.08
app,0.16
appalled,1.16
appalling,1.94
appaloosa,0.06
apparatchik,0.04
apparatus,1.51
apparel,0.69
apparent,4.22
apparition,0.76
appeal,13
appear,23.37
appearance,11.59
appease,0.49
appeasement,0.2
appeaser,0.04
appellant,0.14
appellate,0.33
appellation,0.16
append,#N/A
appendage,0.41
appendectomy,0.65
appendicitis,0.94
appendix,2.61
apperception,0.02
appetite,8.94
appetizer,1.2
appetizing,0.63
applaud,2.14
applause,11.29
apple,23.67
applecart,0.02
applejack,0.57
applesauce,0.59
appliance,0.8
applicability,0.04
applicable,0.27
applicant,0.61
application,10
applicator,0.2
apply,12.51
appoint,2.04
appointee,0.08
appointment,30.57
appraisal,0.76
appraise,0.2
appraiser,0.22
appreciable,0.06
appreciate,85.75
appreciation,5.12
appreciative,0.8
appreciator,0.06
apprehend,1.43
apprehensibility,0.02
apprehension,0.76
apprehensive,0.55
apprentice,1.94
apprenticeship,0.14
apprise,0.14
approach,20.98
approachable,0.08
approbation,0.12
appropriate,12.88
appropriateness,0.04
appropriation,0.16
approval,8.39
approve,11.37
approximate,1.25
approximation,0.06
apricot,0.63
apriority,0.04
apron,2.67
apse,#N/A
apt,1.75
aptitude,1.08
aqualung,0.1
aquamarine,0.45
aquaplane,#N/A
aquarium,2.76
aquatic,0.55
aquatics,0.06
aquavit,0.06
aqueduct,0.33
aqueous,0.1
aquifer,0.04
arabesque,0.1
arable,0.02
arachnid,0.25
arachnophobia,0.12
aragonite,0.02
arbiter,0.2
arbitrage,0.18
arbitrary,1.02
arbitrate,0.04
arbitration,0.45
arbitrator,0.08
arbor,0.76
arboreal,0.12
arboretum,0.2
arborist,0.04
arc,4.84
arcade,2.18
arcane,0.41
arch,3.69
archaeological,0.94
archaeologist,1.12
archaeology,0.76
archaeopteryx,0.02
archaic,0.69
archaism,0.04
archangel,0.43
archbishop,3.69
archdeacon,0.12
archdiocese,0.67
archduchess,0.04
archduke,0.9
arched,0.18
archenemy,0.25
archer,5.45
archery,0.78
archetypal,0.14
archetype,0.12
archiepiscopal,#N/A
archimandrite,#N/A
archipelago,0.14
architect,6.55
architectonic,0.02
architectural,1.27
architecture,3.18
architrave,0.04
archival,0.06
archive,1.31
archives,2.53
archivist,0.08
archon,#N/A
archway,0.24
arcsine,0.02
arctic,1.96
ardency,0.02
ardent,0.59
ardor,0.14
arduous,0.67
area,74.92
areal,0.02
arena,3.63
areola,0.14
argent,0.1
argentine,0.67
argillaceous,0.08
argon,0.18
argosy,0.25
argot,0.02
argue,19.75
argument,17
argumentative,0.75
aria,0.69
arid,0.31
aridity,0.02
arioso,0.04
arise,2.96
aristocracy,0.63
aristocrat,1.35
aristocratic,0.73
arithmetic,1.53
arithmetical,0.04
ark,3.9
arm,65.41
armada,1.08
armadillo,3.02
Armageddon,1.73
armament,0.49
armature,0.02
armband,0.27
armchair,0.41
armed,22.82
armful,0.24
armistice,0.39
armless,0.08
armload,0.08
armoire,0.16
armor,7.29
armored,3.25
armorial,0.02
armory,1.86
armpit,1.25
armrest,0.16
arms,59.8
army,85.69
aroma,1.35
aromatherapy,0.31
aromatic,0.27
around,736.73
arousal,0.37
arouse,1.22
arpeggio,0.02
arraign,0.14
arraignment,1.39
arrange,15.51
arrangement,9.45
arranger,0.22
arrant,0.1
array,2.12
arrears,0.18
arrest,59.55
arrestee,0.04
arrestment,0.02
arrhythmia,0.47
arrhythmic,0.04
arrival,8.27
arrive,18.69
arrogance,2.82
arrogant,5.22
arrow,7.84
arrowroot,0.02
arsenal,2
arsenic,1.24
arsenical,#N/A
arsine,0.04
arson,3
arsonist,1.02
art,70.8
arterial,1.33
arteriogram,0.06
arteriosclerosis,0.02
artery,5.31
artful,0.18
arthritic,0.25
arthritis,1.94
arthropod,0.02
arthroscopic,0.14
artichoke,0.55
article,19.57
articular,0.02
articulate,1.67
articulation,0.16
artifact,1.1
artifice,0.06
artificial,4.82
artificiality,0.1
artillery,5.49
artilleryman,0.06
artisan,0.1
artist,28.63
artiste,0.59
artistic,4.92
artistry,0.47
artless,0.06
arts,9.22
artsy,0.33
artwork,1.53
arty,1.08
arugula,0.12
as,2217.02
asbestos,1.29
ascend,0.92
ascendancy,0.12
ascendant,0.67
ascending,0.69
ascension,0.86
ascent,0.31
ascertain,0.96
ascertainable,0.02
ascetic,0.1
ascorbic,0.04
ascribe,0.1
aseptic,0.04
asexual,0.22
ash,9.2
ashamed,27.37
ashcan,0.14
ashen,0.18
ashes,9.86
ashlar,#N/A
ashore,6.22
ashram,0.29
ashtray,3.25
ashy,0.18
aside,23.76
asinine,0.96
asininity,#N/A
ask,483.14
asker,0.06
askew,0.27
asleep,49.82
asp,0.12
asparagus,0.98
aspect,3.86
aspen,1.88
asperse,0.02
aspersion,0.02
asphalt,0.96
asphyxia,0.41
asphyxiate,0.16
asphyxiation,0.71
aspic,0.29
aspidistra,0.04
aspirant,0.02
aspirate,0.2
aspiration,0.57
aspire,1.08
aspirin,7.75
aspiring,0.63
ass,226.37
assail,0.1
assailable,0.02
assailant,1.47
assassin,5.92
assassinate,1.88
assassination,5.51
assassinator,0.02
assault,17.57
assaultive,0.04
assay,0.16
assegai,0.08
assemblage,0.12
assemble,3.2
assembly,4.8
assemblyman,0.73
assent,0.08
assert,0.84
assertion,0.27
assertive,0.45
assertiveness,0.18
assess,1.63
assessment,3.1
assessor,0.22
asset,3.78
asshole,61.61
assiduity,#N/A
assiduous,0.04
assign,2.71
assignation,0.22
assignment,17.88
assimilate,0.51
assimilation,0.2
assist,7.84
assistance,10.94
assistant,32.22
associate,8.98
association,8.12
associative,0.25
assorted,0.96
assortment,0.73
assuage,0.12
assume,33.47
assumption,3.33
assurance,2.04
assure,20.02
assuredness,0.02
aster,0.2
asterisk,0.45
asteroid,1.69
asthma,3.86
asthmatic,0.39
astigmatism,0.2
astonish,0.45
astonished,0.94
astonishing,1.71
astonishment,0.27
astound,0.43
astounded,0.24
astraddle,#N/A
astral,0.96
astray,1.49
astringent,0.12
astrobiology,0.02
astrodome,0.1
astrolabe,#N/A
astrologer,0.27
astrological,0.29
astrologist,0.04
astrology,0.92
astronaut,3.96
astronautics,0.06
astronomer,0.71
astronomic,0.06
astronomical,0.73
astronomy,1.31
astrophysical,0.02
astrophysicist,0.16
astrophysics,0.35
astute,1
astuteness,0.02
asylum,4.59
asymmetric,0.04
asymmetrical,0.12
asymmetry,0.06
asymptomatic,0.22
at,3217.1
atavism,0.06
atavistic,0.1
atelier,0.04
atheism,0.1
atheist,1.08
atheistic,0.04
atheneum,0.02
athlete,4.61
athletic,3.86
athleticism,0.22
athletics,0.63
atilt,#N/A
atlas,1.02
atmosphere,9.67
atmospheric,0.92
atoll,0.53
atom,2.75
atomic,4.88
atomize,0.06
atomizer,0.08
atonal,0.02
atonality,0.02
atone,0.84
atonement,0.35
atrabilious,0.02
atremble,0.06
atrium,0.71
atrocious,0.69
atrocity,0.63
atrophy,0.41
atropine,1.71
attach,2.47
attache,0.1
attachment,1.16
attack,75.55
attacker,1.43
attain,0.92
attainability,#N/A
attainable,0.14
attainment,0.06
attar,0.02
attempt,19.12
attempted,7.69
attend,14.02
attendance,2.65
attendant,3.1
attendee,0.02
attention,98.67
attentive,1.29
attentiveness,0.06
attenuate,0.06
attenuation,0.04
attest,0.43
attic,7.84
attire,1.49
attitude,26.08
attitudinal,0.02
attorney,40.39
attract,5.69
attraction,6.82
attractive,24.63
